Generation;AverageBest;AverageAverage;AverageTime
0;4.2293694000;4.2293694000;0.0000000000
1;4.2293694000;4.2293694000;0.0000000000
2;4.2293694000;4.2293694000;0.0000000000
3;4.2293694000;4.2293694000;0.0000000000
4;4.2293694000;4.2293694000;0.0000000000
5;4.2293694000;4.2293694000;0.0000000000
6;4.2293694000;4.2293694000;0.0000000000
7;4.2293694000;4.2293694000;0.0000000000
8;4.2293694000;4.2293694000;0.0000000000
9;4.2293694000;4.2293694000;0.0000000000
10;4.2293694000;4.2293694000;0.0000000000
11;4.2293694000;4.2293694000;0.0000000000
12;4.2293694000;4.2293694000;0.0000000000
13;4.2293694000;4.2293694000;0.0000000000
14;4.2293694000;4.2293694000;0.0000000000
15;4.2293694000;4.2293694000;0.0000000000
16;4.2293694000;4.2293694000;0.0000000000
17;4.2293694000;4.2293694000;0.0000000000
18;4.2293694000;4.2293694000;0.0000000000
19;4.2293694000;4.2293694000;0.0000000000
20;4.2293694000;4.2293694000;0.0000000000
21;4.2293694000;4.2293694000;0.0000000000
22;4.2293694000;4.2293694000;0.0000000000
23;4.2293694000;4.2293694000;0.0000000000
24;4.2293694000;4.2293694000;0.0000000000
25;4.2293694000;4.2293694000;0.0000000000
26;4.2293694000;4.2293694000;0.0000000000
27;4.2293694000;4.2293694000;0.0000000000
28;4.2293694000;4.2293694000;0.0000000000
29;4.2293694000;4.2293694000;0.0000000000
30;4.2293694000;4.2293694000;0.0000000000
31;4.2293694000;4.2293694000;0.0000000000
32;4.2293694000;4.2293694000;0.0000000000
33;4.2293694000;4.2293694000;0.0000000000
34;4.2293694000;4.2293694000;0.0000000000
35;4.2293694000;4.2293694000;0.0000000000
36;4.2293694000;4.2293694000;0.0000000000
37;4.2293694000;4.2293694000;0.0000000000
38;4.2293694000;4.2293694000;0.0000000000
39;4.2293694000;4.2293694000;0.0000000000
40;4.2293694000;4.2293694000;0.0000000000
41;4.2293694000;4.2293694000;0.0000000000
42;4.2293694000;4.2293694000;0.0000000000
43;4.2293694000;4.2293694000;0.0000000000
44;4.2293694000;4.2293694000;0.0000000000
45;4.2293694000;4.2293694000;0.0000000000
46;4.2293694000;4.2293694000;0.0000000000
47;4.2293694000;4.2293694000;0.0000000000
48;4.2293694000;4.2293694000;0.0000000000
49;4.2293694000;4.2293694000;0.0000000000
50;4.2293694000;4.2293694000;0.0000000000
51;4.2293694000;4.2293694000;0.0000000000
52;4.2293694000;4.2293694000;0.0000000000
53;4.2293694000;4.2293694000;0.0000000000
54;4.2293694000;4.2293694000;0.0000000000
55;4.2293694000;4.2293694000;0.0000000000
56;4.2293694000;4.2293694000;0.0000000000
57;4.2293694000;4.2293694000;0.0000000000
58;4.2293694000;4.2293694000;0.0000000000
59;4.2293694000;4.2293694000;0.0000000000
60;4.2293694000;4.2293694000;0.0000000000
61;4.2293694000;4.2293694000;0.0000000000
62;4.2293694000;4.2293694000;0.0000000000
63;4.2293694000;4.2293694000;0.0000000000
64;4.2293694000;4.2293694000;0.0000000000
65;4.2293694000;4.2293694000;0.0000000000
66;4.2293694000;4.2293694000;0.0000000000
67;4.2293694000;4.2293694000;0.0000000000
68;4.2293694000;4.2293694000;0.0000000000
69;4.2293694000;4.2293694000;0.0000000000
70;4.2293694000;4.2293694000;0.0000000000
71;4.2293694000;4.2293694000;0.0000000000
72;4.2293694000;4.2293694000;0.0000000000
73;4.2293694000;4.2293694000;0.0000000000
74;4.2293694000;4.2293694000;0.0000000000
75;4.2293694000;4.2293694000;0.0000000000
76;4.2293694000;4.2293694000;0.0000000000
77;4.2293694000;4.2293694000;0.0000000000
78;4.2293694000;4.2293694000;0.0000000000
79;4.2293694000;4.2293694000;0.0000000000
80;4.2293694000;4.2293694000;0.0000000000
81;4.2293694000;4.2293694000;0.0000000000
82;4.2293694000;4.2293694000;0.0000000000
83;4.2293694000;4.2293694000;0.0000000000
84;4.2293694000;4.2293694000;0.0000000000
85;4.2293694000;4.2293694000;0.0000000000
86;4.2293694000;4.2293694000;0.0000000000
87;4.2293694000;4.2293694000;0.0000000000
88;4.2293694000;4.2293694000;0.0000000000
89;4.2293694000;4.2293694000;0.0000000000
90;4.2293694000;4.2293694000;0.0000000000
91;4.2293694000;4.2293694000;0.0000000000
92;4.2293694000;4.2293694000;0.0000000000
93;4.2293694000;4.2293694000;0.0000000000
94;4.2293694000;4.2293694000;0.0000000000
95;4.2293694000;4.2293694000;0.0000000000
96;4.2293694000;4.2293694000;0.0000000000
