Generation;AverageBest;AverageAverage;AverageTime
0;4.7838933;6.108014690333331;0.002
1;4.6995843;5.921069014199999;0.288
2;4.6864684;5.8133378570000005;0.484
3;4.6721038;5.739881231133337;0.677
4;4.6022565;5.682775234133335;0.866
5;4.5866348;5.655348718933337;1.045
6;4.5636095;5.617421662266667;1.213
7;4.4613666;5.583124111733334;1.384
8;4.4401476;5.549112784199997;1.551
9;4.4296118;5.5262220925999985;1.715
10;4.4260474;5.50325893913333;1.884
11;4.3776344;5.467209067399996;2.052
12;4.3627991;5.434479654533331;2.219
13;4.3604482;5.407159360999999;2.38
14;4.3461121;5.377946895000003;2.544
15;4.3410861;5.353299624000001;2.707
16;4.333267;5.328459984733334;2.866
17;4.3287879;5.307040260200001;3.028
18;4.3210383;5.2819026962666635;3.189
19;4.2816434;5.2642175076;3.352
20;4.2716118;5.246276185066668;3.516
21;4.2655369;5.223535151066668;3.682
22;4.228013;5.204128268666667;3.846
23;4.2204253;5.178598606666665;4.011
24;4.2168735999999996;5.171539550866666;4.172000000000001
25;4.2139047;5.157933618200001;4.333
26;4.2066181;5.146083561533335;4.499
27;4.2034401;5.134016640933332;4.661
28;4.2005662;5.128978230066669;4.824
29;4.1882944;5.115030501600002;4.991
30;4.1876627;5.095979065933333;5.153
31;4.1792096;5.080922997866668;5.318
32;4.1766372;5.0736027201333345;5.479
33;4.1761639;5.060239556733336;5.638
34;4.1671695;5.047318694266665;5.801
35;4.1641797;5.040138898266668;5.959
36;4.160811;5.036177164866666;6.121
37;4.1267533;5.017254199933333;6.2829999999999995
38;4.1246336;5.004433245466667;6.447
39;4.119302;5.000584022466667;6.618
40;4.1148609;4.984955079733335;6.784
41;4.1052818;4.972841307800001;6.953
42;4.102449;4.9630196587999995;7.121
43;4.0978674;4.954522974866667;7.2909999999999995
44;4.0972367;4.942485645466668;7.465
45;4.0822644;4.9286487436;7.635
46;4.0799111;4.923654041666668;7.804
47;4.0779227;4.9150055835333335;7.974
48;4.073822;4.903066743266667;8.144
49;4.0724531;4.903505490533333;8.315
50;4.0712951;4.899919170066666;8.485
51;4.0398043999999995;4.892455818333333;8.656
52;4.0376639;4.889890415600002;8.824
53;4.0359646;4.878047489400003;8.988
54;4.009668;4.869889315066668;9.155
55;4.0023608;4.858404346866667;9.324
56;4.001353;4.857538715466671;9.496
57;3.9969266;4.849197611600001;9.663
58;3.9912684;4.840460514333337;9.831999999999999
59;3.990211;4.831586406933338;10.007
60;3.9880549;4.828982843466669;10.18
61;3.9873191;4.8235043947333365;10.356
62;3.9844149;4.816256980933332;10.531
63;3.9803791;4.802633803600002;10.705
64;3.9602459;4.794405520733336;10.876
65;3.9602459;4.7883516276000035;11.053
66;3.9583197;4.778607853333337;11.225999999999999
67;3.9544381;4.770670655;11.397
68;3.9481362;4.772429032666667;11.565999999999999
69;3.9473995;4.759863157266667;11.739
70;3.9456051;4.758365461999999;11.909
71;3.9448077;4.758171583533334;12.079
72;3.9415527;4.744754554599998;12.247
73;3.9339537;4.740606660666665;12.416
74;3.9326449;4.735110662799999;12.587
75;3.9301538;4.731685591733332;12.757
76;3.9300034;4.726990979066663;12.927999999999999
77;3.9274793;4.721274185533331;13.102
78;3.9255832;4.722260650066663;13.276
79;3.924454;4.710382051933332;13.449
80;3.9229157;4.711567299333333;13.625
81;3.9210688;4.704873759999996;13.804
82;3.9202754;4.698390221399997;13.983
83;3.9191227;4.6867412704666656;14.16
84;3.9172608;4.671295507400003;14.339
85;3.9139952;4.669626385466668;14.520999999999999
86;3.9122387;4.661835283133329;14.701
87;3.9117376;4.66220102373333;14.879
88;3.9113112;4.6482423883999955;15.058
89;3.9089036;4.654731256399995;15.24
90;3.9075764;4.651296720666665;15.419
91;3.9074927;4.639353285466669;15.593
92;3.9067667;4.631885607066662;15.769
93;3.9054948;4.628228911733334;15.941
94;3.9049974;4.6244286174;16.116
95;3.9026576;4.623539127399998;16.289
96;3.9017060999999997;4.618530190466668;16.464
97;3.9009255;4.6169051756000075;16.643
98;3.8987016999999997;4.61151638573334;16.821
99;3.8986046;4.61225641953334;17.0
100;3.8986046;4.609046981866671;17.181
101;3.8972582;4.6052190295333455;17.365
102;3.8970412999999997;4.593191289066676;17.549
103;3.8962133;4.596497586466674;17.733
104;3.8955621999999996;4.586362485866676;17.916
105;3.895463;4.590831078400008;18.099
106;3.8945385;4.581627379266666;18.282
107;3.8941713;4.574966803666664;18.469
108;3.8927612;4.575016553866661;18.653
109;3.8925969;4.569148650266661;18.835
110;3.8911691999999998;4.563311675399988;19.015
111;3.8906942;4.564720876466656;19.195999999999998
112;3.8905145;4.565672320199989;19.374
113;3.8901167;4.5562718793333215;19.553
114;3.8894379;4.551200299133319;19.735
115;3.8889782999999998;4.5498425865999845;19.912
116;3.888886;4.548475094799984;20.091
117;3.8887426;4.5531150817333135;20.27
118;3.8881373999999997;4.544192454466649;20.449
119;3.8880437;4.546065740933317;20.629
120;3.8879276;4.550051935666646;20.81
121;3.8878564;4.5572950377999755;20.99
122;3.887378;4.542757965066648;21.17
123;3.88674;4.535824610866644;21.358
124;3.8861432;4.543996597066644;21.541
125;3.8856557;4.548069883133313;21.730999999999998
126;3.8854568;4.54688295953332;21.916
127;3.8851861999999997;4.538826731133315;22.098
128;3.8849277;4.547241158733315;22.285
129;3.8845763;4.547123684599986;22.474
130;3.8844029;4.5393541339333146;22.662
131;3.8844029;4.535968528066648;22.846
132;3.8844029;4.541834314066651;23.032
133;3.8844013;4.5411940090666505;23.217
134;3.8843045;4.5334411123999825;23.398
135;3.8842976;4.543195706933317;23.584
136;3.8841845;4.542509775533316;23.77
137;3.8841776;4.539573038333319;23.956
138;3.8841776;4.534343531533317;24.134999999999998
139;3.884175;4.538964341866658;24.322
140;3.884175;4.538433855799993;24.504
141;3.8841718;4.542157490933326;24.692
142;3.8841718;4.547152523866657;24.881
143;3.8841718;4.535630288733318;25.069
144;3.8841718;4.54347438286665;25.254
145;3.8841718;4.544174507599984;25.442
146;3.8840208;4.5403877441999825;25.631
147;3.8840208;4.532941665733316;25.823999999999998
148;3.8840208;4.537265128266651;26.016
149;3.8840208;4.533487059733316;26.205
150;3.8840208;4.533036058799981;26.39
151;3.8840208;4.538257243666648;26.577
152;3.8840208;4.531051164533314;26.768
153;3.8840208;4.53895097419998;26.954
154;3.8839558;4.537554066866648;27.139
155;3.8839558;4.550577067933315;27.325
156;3.8839558;4.543179070999984;27.515
