Generation;Best;Average;ElapsedSeconds
0;11,486886;14,007183933999993;0,00
1;11,403221;13,715446288666698;0,32
2;11,403221;13,514640207999982;0,58
3;11,403221;13,46091412733333;0,81
4;11,329573;13,39991684800002;1,02
5;11,287754;13,36015407466668;1,23
6;11,287754;13,316013925333342;1,43
7;11,287754;13,238291496000002;1,66
8;11,287754;13,206986715333349;1,88
9;11,266641;13,158388702666624;2,08
10;11,266641;13,110800960666655;2,28
11;11,230449;13,033213798666635;2,49
12;11,230449;12,972423731333322;2,68
13;11,230449;12,972706117333313;2,87
14;11,06696;12,926667447333339;3,09
15;11,06696;12,856508024666672;3,28
16;11,06696;12,840390654666658;3,46
17;11,06696;12,802628383333321;3,63
18;11,06696;12,793277048000004;3,82
19;10,6133;12,782205619333338;4,02
20;10,6133;12,705562492666662;4,22
21;10,541862;12,671724088666684;4,42
22;10,541862;12,655200306666647;4,61
23;10,541862;12,614306837333325;4,81
24;10,541862;12,532006374666642;5,01
25;10,511731;12,490932794666646;5,19
26;10,480047;12,461707287333311;5,41
27;10,473709;12,41152949199994;5,61
28;10,473709;12,369556937333291;5,85
29;10,473709;12,324864237333268;6,07
30;10,473709;12,324490664666596;6,27
31;10,406614;12,281949830666635;6,47
32;10,406614;12,20028620066664;6,66
33;10,406614;12,161642611333317;6,85
34;10,406614;12,146365327333331;7,03
35;10,193927;12,102895711999968;7,23
36;10,193927;12,034782754;7,40
37;10,193927;12,049252585999959;7,59
38;10,193927;12,029019700666652;7,77
39;10,193927;11,973298289333329;7,96
40;10,193927;11,948700696666647;8,13
41;10,193927;11,958543352666672;8,32
42;10,193927;11,923985267333322;8,50
43;10,193927;11,914362148666658;8,77
44;10,193927;11,902353695333332;9,01
45;10,193927;11,887327004666668;9,22
46;10,176204;11,85154012666665;9,44
47;10,176204;11,872952902666647;9,64
48;10,176204;11,87789020933334;9,84
49;10,176204;11,834696729999994;10,05
50;10,165883000000001;11,825512386666666;10,26
51;10,165883000000001;11,82470017733331;10,46
52;10,165883000000001;11,802536257333333;10,67
53;10,087412;11,795138180000007;10,87
54;10,087412;11,749270717333316;11,07
55;10,087412;11,73234279;11,26
56;10,087412;11,691838388666657;11,43
57;10,087412;11,655498171999987;11,61
58;10,087412;11,66613238533333;11,81
59;10,087412;11,59399157733332;12,01
60;10,087412;11,612740360666649;12,19
61;10,087412;11,62687043333335;12,39
62;10,087412;11,590621310000012;12,60
63;10,087412;11,573548012666674;12,82
64;10,087412;11,559386712000029;13,01
65;10,087412;11,513643880666685;13,21
66;10,087412;11,501369164000003;13,40
67;10,087412;11,48937170800003;13,59
68;10,087412;11,481062136666658;13,77
69;10,087412;11,452712256666647;13,95
70;10,087412;11,442027432666679;14,12
71;10,087412;11,436291552000052;14,31
72;10,087412;11,430210233333414;14,51
73;10,087412;11,38719544000011;14,72
74;10,087412;11,36982456533346;14,92
75;10,087412;11,363498838666795;15,11
76;10,087412;11,291087434000142;15,29
77;10,087412;11,294826436000143;15,49
78;10,087412;11,291332019333453;15,71
79;10,087412;11,312331124666807;15,91
80;9,65912;11,256457060666827;16,10
81;9,65912;11,238291174666818;16,27
82;9,65912;11,218767309333474;16,47
83;9,65912;11,232992082000147;16,65
84;9,65912;11,212742168000142;16,84
85;9,65912;11,173818714000161;17,03
86;9,65649;11,203313449333493;17,20
87;9,591587;11,214807082666823;17,38
88;9,591587;11,153168700000183;17,55
89;9,591587;11,16415668133347;17,73
90;9,582456;11,214659341333464;17,94
91;9,582456;11,171276101333456;18,15
92;9,582456;11,165722346000097;18,36
93;9,582456;11,125626172000025;18,56
94;9,569726;11,161927655333365;18,76
95;9,569726;11,094050307333353;18,97
96;9,569726;11,092217984666663;19,17
97;9,569726;11,048083571333363;19,36
98;9,569726;11,043827070000026;19,57
99;9,569726;11,061298750666682;19,77
100;9,558417;11,048083696000038;19,97
101;9,558417;11,028179258666743;20,16
102;9,558417;11,006362607333372;20,35
103;9,55299;10,969628525333395;20,53
104;9,55299;10,911042701333344;20,75
105;9,549282;10,926481595333327;21,03
106;9,544251;10,935816913333326;21,25
107;9,544251;10,872669050000033;21,44
108;9,535262;10,936017001333353;21,65
109;9,535262;10,899904079999999;21,86
110;9,535262;10,926303044666628;22,15
111;9,535262;10,92912306799998;22,41
112;9,535262;10,893849368666645;22,62
113;9,531158;10,913450813333295;22,87
114;9,531158;10,933899080666611;23,07
115;9,531158;10,906374876666595;23,33
116;9,531158;10,880034467999916;23,63
117;9,531158;10,81755024199993;23,95
118;9,531158;10,877752076666606;24,24
119;9,531158;10,907190869999926;24,46
120;9,531158;10,854201412666589;24,67
121;9,531158;10,851258115333247;24,94
122;9,531158;10,841519365333237;25,17
123;9,531158;10,81308848466658;25,42
124;9,531158;10,824725417333235;25,67
125;9,531158;10,880458079333234;25,90
126;9,531158;10,89121334599991;26,11
127;9,531158;10,830268915999905;26,34
128;9,531158;10,788649634666573;26,57
129;9,531158;10,801252249333224;26,78
130;9,531158;10,843185471333241;27,01
