Generation;Best;Average;ElapsedSeconds
0;11,083083;12,402154198;0,00
1;11,046872;12,181771305999995;0,25
2;11,046872;12,130380003333354;0,43
3;11,046872;12,09914917000001;0,62
4;10,588929;12,064629664000027;0,79
5;10,487086;12,013044467333348;0,96
6;10,487086;11,985694138666673;1,13
7;10,487086;11,960154560666671;1,30
8;10,487086;11,94201943666667;1,44
9;10,487086;11,896261914666667;1,60
10;10,487086;11,87587960933335;1,76
11;10,487086;11,851042401333341;1,92
12;10,487086;11,818064752000012;2,07
13;10,400098;11,811165082000024;2,22
14;10,400098;11,78714363400003;2,37
15;10,400098;11,786088673333333;2,52
16;10,400098;11,74908192866667;2,67
17;10,400098;11,72973037000001;2,82
18;10,400098;11,702453004000006;2,97
19;10,400098;11,654480315333362;3,12
20;10,400098;11,667836440666688;3,26
21;10,400098;11,64869084800003;3,41
22;10,400098;11,650372995333344;3,56
23;10,400098;11,638736658666685;3,71
24;10,400098;11,64008217133336;3,86
25;10,392105;11,619445772666664;4,02
26;10,392105;11,62525710866669;4,18
27;10,392105;11,592501404666695;4,34
28;10,392105;11,59493047933334;4,49
29;10,347352;11,604754154666653;4,64
30;10,287420000000001;11,583159303333346;4,79
31;10,287420000000001;11,590477632666659;4,94
32;10,287420000000001;11,566521706000017;5,09
33;10,287420000000001;11,561299321333342;5,24
34;10,287420000000001;11,559475216666659;5,39
35;10,287420000000001;11,553311755333352;5,54
36;10,287420000000001;11,53391539800002;5,68
37;10,287420000000001;11,50592867466668;5,82
38;10,287420000000001;11,524121775333331;5,97
39;10,287420000000001;11,501995160000035;6,12
40;10,287420000000001;11,523788300000014;6,27
41;10,287420000000001;11,500574181333356;6,41
42;10,287420000000001;11,48581169866666;6,57
43;10,235729;11,493437011333352;6,73
44;10,186308;11,501384994666669;6,89
45;10,186308;11,485585790000021;7,05
46;10,186308;11,467324318;7,21
47;10,186308;11,464312534666677;7,37
48;10,186308;11,485699667333346;7,53
49;10,186308;11,489204810666674;7,69
50;10,186308;11,458013012666663;7,85
51;10,186308;11,457768570000027;8,00
52;10,186308;11,436443136666691;8,15
53;10,186308;11,429050328000027;8,29
54;10,172734;11,446225718000035;8,44
55;10,172734;11,432044740666687;8,59
56;10,172734;11,442150820666672;8,74
57;10,172734;11,420060864000016;8,89
58;10,172734;11,43752149200002;9,04
59;10,172734;11,421824980666672;9,18
60;10,172734;11,41976742600003;9,34
61;10,16074;11,401258867333345;9,51
62;10,16074;11,394532564000018;9,66
63;10,046872;11,410141270666692;9,82
64;10,046872;11,368575516;9,98
65;10,046872;11,371737465333359;10,14
66;10,046872;11,363180809333343;10,30
67;10,046872;11,374397781999996;10,46
68;10,046872;11,350569506666679;10,62
69;10,046872;11,356222631333353;10,79
70;10,046872;11,374936057333345;10,95
71;10,046872;11,357648043333366;11,09
72;10,046872;11,339858806666665;11,26
73;10,046872;11,332103860000005;11,42
74;10,046872;11,33823548933335;11,58
75;10,046872;11,340458223333345;11,74
76;10,046872;11,325023801999988;11,90
77;10,046872;11,345954969333334;12,05
78;10,046872;11,337613174000015;12,20
79;10,046872;11,291505478666718;12,37
80;10,046872;11,292923822666678;12,53
81;10,046872;11,31499179733335;12,70
82;10,046872;11,324035192000034;12,85
83;10,046872;11,298802388666669;13,01
84;10,046872;11,304359796666686;13,17
85;10,046872;11,28477566533334;13,33
86;10,046872;11,288516402666682;13,49
87;10,046872;11,285552130666694;13,66
88;10,046872;11,289097750000035;13,82
89;10,046872;11,28073752666668;13,98
90;10,046872;11,254466476666687;14,14
91;10,046872;11,262885976666691;14,29
92;10,046872;11,286046887333367;14,45
93;10,046872;11,278608631333356;14,61
94;10,046872;11,255376286666687;14,76
95;10,046872;11,259528597333361;14,90
96;10,046872;11,239578961333365;15,06
97;10,046872;11,233803333333364;15,21
98;10,046872;11,226552153333355;15,37
99;9,705529;11,254221305333376;15,54
100;9,705529;11,224124108000037;15,71
101;9,705529;11,213105736000049;15,87
102;9,705529;11,243356916666714;16,03
103;9,647201;11,210950697333379;16,21
104;9,647201;11,233358631333385;16,38
105;9,647201;11,22329532800004;16,54
106;9,647201;11,202686207333375;16,71
107;9,647201;11,201390908666724;16,88
108;9,647201;11,206897471333379;17,05
109;9,647201;11,195103108666729;17,21
110;9,647201;11,197304093333402;17,36
111;9,647201;11,187418427333377;17,52
112;9,647201;11,18329277266671;17,67
113;9,647201;11,189600057333392;17,83
114;9,647201;11,195617374666728;17,99
115;9,647201;11,174488105333397;18,16
116;9,647201;11,164651707333396;18,31
117;9,647201;11,169656647333392;18,47
118;9,647201;11,171487488000055;18,64
119;9,647201;11,179425470000055;18,82
120;9,647201;11,188102410666712;19,00
121;9,647201;11,202417068000054;19,17
122;9,647201;11,176161562000042;19,35
123;9,647201;11,162923568000064;19,52
124;9,647201;11,148390983333384;19,70
125;9,647201;11,142668404000055;19,88
126;9,647201;11,146604676000047;20,04
127;9,647201;11,117771747333393;20,22
128;9,647201;11,117667972666725;20,39
129;9,647201;11,118507384666731;20,55
130;9,647201;11,092307698000067;20,71
131;9,647201;11,09186415733339;20,89
132;9,647201;11,090505929333391;21,04
133;9,647201;11,075599266000056;21,21
134;9,647201;11,06767364933342;21,37
135;9,647201;11,053614551333421;21,53
136;9,647201;11,042748158666734;21,69
137;9,647201;11,034039255333417;21,85
138;9,618305;11,017933628000069;22,02
139;9,618305;11,018141882000096;22,20
140;9,618305;11,041515428000103;22,37
141;9,618305;11,025607611333422;22,55
142;9,618305;10,997276964666757;22,73
143;9,618305;10,956468434000083;22,90
144;9,618305;10,950955741333459;23,08
145;9,618305;10,901138348666766;23,26
146;9,618305;10,918004772000096;23,45
147;9,618305;10,875434738000086;23,63
148;9,618305;10,87719503666672;23,81
149;9,618305;10,808036092000016;23,98
150;9,618305;10,781661986000016;24,14
151;9,618305;10,726504948666655;24,31
152;9,607384;10,714399444000009;24,47
153;9,607384;10,731446216666711;24,64
154;9,607384;10,727498608000012;24,81
155;9,607072;10,75280000400005;24,98
156;9,607072;10,670193465333362;25,14
157;9,607072;10,660470281999991;25,31
158;9,607072;10,63614842533334;25,49
159;9,607072;10,62210826000003;25,67
160;9,584584;10,655020561333423;25,85
161;9,584584;10,63467534666678;26,02
162;9,584584;10,631487322000105;26,20
163;9,584584;10,631842967333435;26,37
164;9,584272;10,61463374066676;26,55
165;9,584272;10,624755942000085;26,73
166;9,577466;10,622546614000072;26,91
167;9,575455999999999;10,617447993333363;27,09
168;9,575144;10,630958598666654;27,27
