Generation;AverageBest;AverageAverage;AverageTime
0;15.341780700000001;17.085334411799984;0.001
1;15.2704783;16.929922341577765;2.678
2;15.223906;16.827215341866662;5.298
3;15.217935;16.751285886111116;7.845
4;15.2081688;16.691780974688886;10.398
5;15.1926373;16.643836474977764;13.004
6;15.1881658;16.603327722111096;15.613999999999999
7;15.1856815;16.56776054742221;18.245
8;15.1851816;16.53750077926665;20.915
9;15.1849125;16.509933865711098;23.623
10;15.1804679;16.48439313444442;26.405
11;15.1794191;16.4613455818222;29.268
12;15.1693824;16.44095328515553;32.137
13;15.1626187;16.421932857533314;35.086
14;15.1529759;16.40533577026665;38.016999999999996
15;15.151613300000001;16.38842053328887;41.016
16;15.1507117;16.373600885777755;44.017
17;15.1472681;16.359600840444426;47.074
18;15.1252554;16.345196901022202;50.176
19;15.1252554;16.332514406022202;53.301
20;15.1232405;16.320976250177758;56.466
21;15.1232405;16.309944096488866;59.696
22;15.116067600000001;16.299153322133307;62.964
23;15.116067600000001;16.288552546311088;66.219
24;15.116067600000001;16.27872327328887;69.487
25;15.1096257;16.269336011066645;72.846
26;15.1096257;16.26064683564442;76.231
27;15.1096257;16.25188205104442;79.548
28;15.1088449;16.24310355675553;82.947
29;15.1077692;16.23485806606664;86.384
30;15.1077692;16.227616489666637;89.807
31;15.1077692;16.22016181808886;93.169
32;15.1064983;16.213168534977758;96.618
33;15.1064983;16.20605457939998;100.101
34;15.096291;16.19946759913331;103.553
35;15.0912381;16.1927803616222;106.996
36;15.0912381;16.18662503553331;110.478
37;15.0874065;16.18089826533332;113.97800000000001
38;15.0835666;16.174997293399983;117.478
39;15.082929;16.168906470022208;120.978
40;15.076965;16.163294522777765;124.444
41;15.076965;16.157628699266652;127.952
42;15.0733441;16.151968802155544;131.511
43;15.0733441;16.146905076111096;135.032
44;15.0733441;16.142141221311096;138.565
45;15.0639213;16.136987772977758;142.125
46;15.0639213;16.131992617511095;145.704
47;15.0639213;16.127354921066647;149.284
48;15.0639213;16.12270182459998;152.843
49;15.0639213;16.1183570180222;156.4
50;15.0630859;16.11333022544442;160.003
51;15.056591;16.109159828088867;163.59199999999998
52;15.056591;16.104807103911092;167.174
53;15.056591;16.100746812088868;170.783
54;15.056591;16.096581924888866;174.425
55;15.0557693;16.092301454999976;178.032
56;15.0373066;16.088168754399977;181.641
57;15.0373066;16.08402797119998;185.258
58;15.0360818;16.080173665599983;188.901
59;15.0360818;16.076346810688868;192.495
60;15.0360818;16.072410312822203;196.16400000000002
61;15.0360818;16.06886217357776;199.873
62;15.027261;16.065443717333316;203.524
63;15.027261;16.06199523471109;207.126
64;15.0261166;16.058684989111086;210.8
65;15.0261166;16.055690897466643;214.534
66;15.0261166;16.05254780055553;218.232
67;15.0209224;16.048803515844423;221.887
68;15.0209224;16.0457365640222;225.579
69;15.0209224;16.042739636488864;229.317
70;15.0188371;16.039726273422193;233.019
71;15.0188371;16.036875650044415;236.723
72;15.0188371;16.033455019844418;240.446
73;15.016783700000001;16.030393362422195;244.17000000000002
74;15.016783700000001;16.02739610806664;247.892
75;15.016783700000001;16.024292190666642;251.632
76;15.016783700000001;16.021522361155526;255.388
77;15.016783700000001;16.018420038711085;259.105
78;15.016783700000001;16.015576049622197;262.827
79;15.016783700000001;16.012908119333307;266.553
80;15.016783700000001;16.01025187493331;270.305
81;15.0161881;16.007585065711087;274.016
82;15.0161881;16.005124682688866;277.766
83;15.0161881;16.00250087386664;281.516
84;15.0161881;15.999862564844422;285.291
85;15.0161881;15.99760191711109;289.01
86;15.0149421;15.994990261399982;292.723
87;15.0149421;15.992365532533316;296.466
88;15.0149421;15.99005246628887;300.207
89;15.014061;15.98763024331109;303.923
90;15.014061;15.985192618755534;307.63599999999997
91;15.014061;15.982722495622196;311.408
92;15.014061;15.980515857066639;315.182
93;15.005313000000001;15.978315792533305;318.905
94;15.005313000000001;15.976273901044415;322.599
95;15.002549;15.974165825266635;326.369
96;15.002549;15.972001307066632;330.149
97;15.002549;15.969869129577742;333.903
98;15.0010553;15.967745092066632;337.633
99;15.0010553;15.965591941911079;341.404
100;15.0010553;15.96341984379997;345.179
101;15.0010553;15.96153204237775;348.909
102;15.0010553;15.95949041995553;352.65
103;14.9981919;15.957493848466646;356.41700000000003
104;14.9981919;15.95561978573331;360.176
105;14.9981919;15.953722915755534;363.915
106;14.9981919;15.951865370377758;367.676
107;14.9981919;15.949961094755531;371.451
108;14.9981919;15.947901475911085;375.216
109;14.9981919;15.945976557955532;378.988
110;14.9792865;15.94399961393331;382.773
111;14.9792865;15.942147175088861;386.562
112;14.9792865;15.94025094675553;390.346
113;14.976164;15.938297872955527;394.091
114;14.9754323;15.936496366311086;397.863
115;14.9731323;15.934749035911086;401.639
116;14.9702027;15.932915306822197;405.401
117;14.9702027;15.931008186977754;409.169
118;14.9702027;15.92935190633331;412.95799999999997
119;14.9702027;15.92768613284442;416.759
120;14.9702027;15.925909626666643;420.548
121;14.9663305;15.924103167977755;424.36
122;14.9657191;15.92252211871109;428.12
123;14.9657191;15.921056227177758;431.908
124;14.9651765;15.91929053595553;435.706
125;14.9651765;15.917662004999977;439.49
126;14.9651765;15.915914156622199;443.277
127;14.9651765;15.914196372955532;447.048
128;14.9651765;15.912418248222195;450.83
129;14.9636588;15.910990448511086;454.677
130;14.9636588;15.909489736222197;458.536
131;14.9636588;15.9078700672222;462.291
132;14.9636588;15.906394915466647;466.033
133;14.9636588;15.904815643199978;469.852
134;14.9621509;15.903314380222202;473.674
135;14.9621509;15.901667635688868;477.445
136;14.9605807;15.900318576711088;481.193
137;14.9605807;15.89880198873331;484.984
138;14.9601648;15.897260880511087;488.796
139;14.9601648;15.895763363288864;492.55600000000004
140;14.9601648;15.894375708666644;496.31600000000003
141;14.9601648;15.893000530488868;500.118
142;14.9595731;15.89146486293331;503.949
143;14.9595731;15.890192756799976;507.767
144;14.9595731;15.88864065515553;511.542
145;14.9573817;15.887246486466642;515.381
146;14.9573817;15.885707560244422;519.223
147;14.9573817;15.88448178813331;523.035
148;14.9573817;15.883342846755534;526.843
149;14.956536700000001;15.88218587224442;530.697
150;14.956536700000001;15.88093459055553;534.5409999999999
151;14.956536700000001;15.879797835933308;538.333
152;14.956536700000001;15.878434121111082;542.1659999999999
153;14.956536700000001;15.877134460955526;546.001
154;14.956536700000001;15.87584850597775;549.878
155;14.9517789;15.874770916244415;553.679
156;14.9517789;15.87371247568886;557.527
157;14.9513167;15.872485652866636;561.411
158;14.9513167;15.87114841146664;565.269
159;14.9513167;15.869703336333309;569.103
160;14.9513167;15.8685620566222;572.954
161;14.9513167;15.867375669355532;576.844
162;14.945752;15.866136055199975;580.74
163;14.9414503;15.865127741044423;584.629
164;14.9414503;15.863828687199982;588.4680000000001
165;14.9414503;15.862619376177761;592.357
166;14.9376638;15.861434408022205;596.266
167;14.9376638;15.860185223999983;600.149
168;14.9376638;15.859116762377758;604.0509999999999
169;14.9376638;15.858005201844424;607.95
170;14.9376638;15.85662564406665;611.885
171;14.9376638;15.85537586777776;615.78
172;14.9376638;15.854180946111095;619.717
173;14.9376638;15.85297910148887;623.659
174;14.9376638;15.851920221622205;627.578
175;14.9371453;15.850781504733316;631.497
176;14.9371453;15.849772540311097;635.453
177;14.9371453;15.848880724444431;639.476
178;14.9371453;15.847835192511095;643.456
179;14.9360238;15.846731268599985;647.403
180;14.9360238;15.845583131777762;651.331
181;14.9360238;15.844499279599987;655.346
182;14.9360238;15.843567026622209;659.332
183;14.9360238;15.842614765911097;663.323
184;14.9360238;15.841597909466655;667.255
185;14.9360238;15.840544291977764;671.293
186;14.9360238;15.83928303304443;675.308
187;14.9360238;15.838308335777763;679.328
188;14.9360238;15.837154506511094;683.245
189;14.9360238;15.836061620933318;687.268
190;14.9360238;15.835091179866653;691.328
191;14.9360238;15.833978992244433;695.418
192;14.9344033;15.8329936059111;699.453
193;14.9344033;15.83205740282221;703.4449999999999
194;14.9300132;15.831063394288876;707.519
195;14.9300132;15.829911342044431;711.515
196;14.9300132;15.828963442355544;715.562
197;14.9300132;15.827883841711099;719.525
198;14.9300132;15.826828021199988;723.583
199;14.9300132;15.825895991733319;727.593
200;14.9300132;15.82497921804443;731.658
201;14.9300132;15.823884150155541;735.721
202;14.9300132;15.822901083888873;739.725
203;14.9300132;15.821837149777762;743.784
204;14.9300132;15.820854415799985;747.732
205;14.9300132;15.819843320911094;751.721
206;14.9300132;15.81889184555554;755.693
207;14.9300132;15.817971618622208;759.666
208;14.9300132;15.817175321222205;763.607
209;14.9300132;15.816103531822206;767.576
210;14.9300132;15.815158546955539;771.5360000000001
211;14.9300132;15.814296559933316;775.503
212;14.928867799999999;15.813348220444428;779.38
213;14.928867799999999;15.812448909911092;783.333
214;14.928867799999999;15.811574979733315;787.308
215;14.928867799999999;15.810726815222205;791.283
216;14.928748;15.809839340777762;795.223
217;14.928748;15.808937873222206;799.199
218;14.928748;15.808047210488873;803.099
219;14.928748;15.807101619977761;807.0509999999999
220;14.9110249;15.806147373088875;811.0
221;14.9110249;15.805500675777763;814.936
222;14.9110249;15.804567438355543;818.894
223;14.9110249;15.80367857615554;822.841
224;14.9110249;15.802890536488878;826.83
225;14.9110249;15.802161133155543;830.783
226;14.9095288;15.801259778511099;834.745
227;14.9095288;15.800439378555545;838.6850000000001
228;14.907802499999999;15.799692750866654;842.694
229;14.907802499999999;15.798845296288876;846.66
230;14.907802499999999;15.797934505466653;850.688
231;14.907802499999999;15.797060097644431;854.7
232;14.907802499999999;15.796263997044433;858.677
233;14.907802499999999;15.795384699466654;862.673
234;14.907802499999999;15.794651348777764;866.657
235;14.8948539;15.793840550044429;870.663
236;14.8931578;15.792950217666652;874.656
237;14.8931578;15.792084022244428;878.684
238;14.8893364;15.791290417555537;882.754
239;14.8893364;15.790530308755539;886.8050000000001
240;14.8893364;15.789612844955538;890.84
241;14.8893364;15.788735207222205;894.858
242;14.8893364;15.787922070511092;898.871
243;14.8893364;15.787067036488871;902.937
244;14.8893364;15.786427536511095;907.024
245;14.8893364;15.785665062244428;911.014
246;14.8893364;15.784906262377762;915.085
247;14.8893364;15.784134615422204;919.1370000000001
248;14.8893364;15.78326574719998;923.27
249;14.889184199999999;15.782401326711094;927.307
250;14.889184199999999;15.78169643644443;931.342
251;14.889184199999999;15.781031726644427;935.453
252;14.889184199999999;15.78021416977776;939.5509999999999
253;14.889184199999999;15.779464859533316;943.593
254;14.889184199999999;15.778687885488871;947.6659999999999
255;14.889184199999999;15.77794072839998;951.693
256;14.889184199999999;15.777354657266645;955.778
257;14.889184199999999;15.77668460411109;959.803
258;14.889184199999999;15.776100348133316;963.833
259;14.889184199999999;15.775288180377757;967.879
260;14.889184199999999;15.774656472733312;971.88
261;14.8884224;15.774017951511091;975.837
262;14.8884224;15.773353234511092;979.793
263;14.8884224;15.772737246066649;983.793
264;14.8884224;15.772006107999983;987.808
265;14.8884224;15.771194142066651;991.827
266;14.8884224;15.77053522895554;995.8149999999999
267;14.8884224;15.769841643377763;999.801
268;14.8884224;15.769282943866653;1003.806
269;14.8876519;15.768564463977764;1007.789
270;14.8876519;15.767857832466653;1011.812
271;14.8865757;15.767256139577764;1015.803
272;14.8865757;15.766623440911097;1019.832
273;14.8865757;15.76588945773332;1023.802
274;14.8865757;15.765223426688873;1027.84
275;14.8865757;15.764628755755538;1031.889
276;14.8865757;15.763886889888871;1035.8890000000001
277;14.8865757;15.763304413288873;1039.914
278;14.8865757;15.762546460133317;1043.925
279;14.8861667;15.761924234711094;1047.961
280;14.8861667;15.761350470088873;1052.033
281;14.8861667;15.76072528575554;1056.035
282;14.8861667;15.75996224697776;1060.1
283;14.8861667;15.759298968622202;1064.163
284;14.8861667;15.758558821288869;1068.229
285;14.8861667;15.758029844644428;1072.249
286;14.8859302;15.757324295999984;1076.285
287;14.8859302;15.756712231511095;1080.297
288;14.8859302;15.755967001333318;1084.335
289;14.8859302;15.75530937175554;1088.421
290;14.8851115;15.754685542399985;1092.517
291;14.8807177;15.754014361288874;1096.64
292;14.8807177;15.753306904488873;1100.791
293;14.8807177;15.752750370977761;1104.95
294;14.8807177;15.752148584199983;1109.102
295;14.8807177;15.751490789933316;1113.248
