Generation;Best;Average;ElapsedSeconds
0;32,487592;35,470133196666694;0,00
1;32,24368;35,31662524666668;2,86
2;32,24368;35,203320201111154;5,74
3;32,24368;35,102211216888975;8,47
4;32,24368;35,030423287777786;11,22
5;32,24368;34,96147021644443;14,18
6;32,24368;34,9063318713333;17,06
7;32,24368;34,85448463000004;19,87
8;32,24368;34,814687323333374;22,96
9;32,24368;34,77186198933335;26,08
10;32,24368;34,73554378488893;29,02
11;32,24368;34,703382043777836;32,28
12;31,767304;34,67322921111115;35,52
13;31,767304;34,645608919111126;38,63
14;31,767304;34,62024515844442;41,81
15;31,767304;34,59593531777772;44,89
16;31,767304;34,57350674422217;48,28
17;31,767304;34,54637136666667;51,42
18;31,767304;34,52704279866668;54,59
19;31,767304;34,50886426911114;57,77
20;31,767304;34,48903063644449;60,90
21;31,767304;34,47009385333339;64,43
22;31,767304;34,452649062444515;67,97
23;31,767304;34,4354705484445;71,46
24;31,767304;34,41855862755558;74,85
25;31,645852;34,40387588133337;78,19
26;31,645852;34,38856987400006;81,44
27;31,645852;34,37791027333342;85,00
28;31,645852;34,365110411111175;88,51
29;31,645852;34,35297088355564;91,96
30;31,645852;34,34004133466677;95,57
31;31,645852;34,32732858222233;99,08
32;31,645852;34,315306733333415;102,55
33;31,645852;34,3048243784445;106,41
34;31,645852;34,29431800511116;110,09
35;31,645852;34,28276062777785;113,55
36;31,645852;34,26913278400006;117,18
37;31,645852;34,25980485600004;121,01
38;31,645852;34,24929542866669;124,41
39;31,645852;34,24131457866668;128,01
40;31,645852;34,231155335111154;131,81
41;31,645852;34,22200138666669;135,47
42;31,645852;34,212570287555565;138,95
43;31,645852;34,20232199355554;142,65
44;31,645852;34,19388271777777;146,10
45;31,645852;34,187158443777754;149,70
46;31,645852;34,178585746444455;153,35
47;31,645852;34,16997929777777;156,67
48;31,645852;34,1618368428889;160,04
49;31,645852;34,152207985777764;163,48
50;31,645852;34,14528524511112;166,73
51;31,645852;34,13901286200004;170,28
