Generation;Best;Average;ElapsedSeconds
0;23,576585;26,272272478666594;0,00
1;23,532736;26,07965286311102;3,84
2;23,457644;25,95022383688882;7,67
3;23,457644;25,84712331022215;11,31
4;23,457644;25,761657842888837;15,19
5;23,457644;25,69303418288886;18,81
6;23,457644;25,636279118666614;22,62
7;23,395731;25,591246736888863;26,38
8;23,395731;25,55311570711105;30,11
9;23,395731;25,51371123644438;33,87
10;23,395731;25,47594896755551;37,76
11;23,395731;25,441395641555534;41,78
12;23,395731;25,409499699111066;46,08
13;23,395731;25,385695853111052;50,35
14;23,395731;25,361077261777723;54,72
15;23,395731;25,3392589313333;59,20
16;23,395731;25,315566234222207;63,65
17;23,380033;25,29422428777778;68,20
18;23,380033;25,274575172888913;73,34
19;23,380033;25,25816387044446;78,13
20;23,380033;25,24151411444445;82,67
21;23,380033;25,22607080533331;87,22
22;23,380033;25,209176485333316;92,07
23;23,380033;25,194431949777762;96,77
24;23,380033;25,180624161999987;101,61
25;23,380033;25,16848256933334;106,58
26;23,380033;25,155994402888883;111,01
27;23,380033;25,143939556222225;115,53
28;23,380033;25,13317683577778;120,17
29;23,380033;25,121201381333353;124,71
30;23,380033;25,11070618177779;129,31
31;23,334009000000002;25,098442604888884;133,99
32;23,303869;25,084079963999997;138,63
33;23,303869;25,074780015999977;143,25
34;23,303869;25,062984539111106;148,04
35;23,303869;25,051549918666648;152,80
36;23,303869;25,04251823222221;157,38
37;23,303869;25,031675536444443;162,14
38;23,288851;25,021751803111133;167,00
39;23,288851;25,011475696222256;171,66
40;23,287954;25,00329944444448;176,34
41;23,287954;24,99318620622225;181,14
42;23,287954;24,982960293111123;185,90
43;23,287954;24,975382829333356;190,62
44;23,287954;24,96747457111114;195,51
45;23,287954;24,95958221844447;200,34
46;23,287954;24,95305355955558;205,07
47;23,287954;24,946734556888902;209,79
48;23,287954;24,94150631333333;214,63
49;23,287954;24,935696700888897;219,61
50;23,287954;24,928645888222242;224,50
51;22,660283;24,922524315333344;229,30
52;22,660283;24,917312140444448;234,17
53;22,660283;24,90992954066667;238,98
54;22,660283;24,90236891822223;243,74
55;22,623356;24,89668646733334;248,63
56;22,611848;24,89067705777778;253,56
57;22,611848;24,88410483733334;258,28
58;22,589108;24,877909438000003;262,99
59;22,589108;24,874159924444445;267,94
60;22,589108;24,86818228066666;272,75
61;22,589108;24,862766485333328;277,47
62;22,589108;24,857243927333325;282,29
63;22,589108;24,85371294333333;287,14
64;22,589108;24,846411107555557;291,86
65;22,589108;24,84237543222223;296,57
66;22,589108;24,835864478888904;301,43
67;22,589108;24,83008584911113;306,20
68;22,589108;24,824645586222232;310,92
69;22,589108;24,820110968444443;315,73
70;22,589108;24,815442195333304;320,55
71;22,589108;24,81057014911109;325,21
72;22,589108;24,80567761733331;329,91
73;22,589108;24,8015813231111;334,81
74;22,589108;24,796512273555535;339,70
75;22,589108;24,790925626666645;344,40
76;22,589108;24,785894103111087;349,37
77;22,589108;24,781364829777743;354,35
78;22,589108;24,776317081333296;359,26
79;22,589108;24,772445964222197;364,03
80;22,589108;24,769255036666646;368,92
81;22,589108;24,764289835777756;373,82
82;22,589108;24,76010755488887;378,70
83;22,589108;24,75639932688888;383,53
84;22,589108;24,752828244666652;388,64
85;22,589108;24,748883359777757;393,62
86;22,589108;24,74573034199998;398,52
87;22,589108;24,741786636222198;403,50
88;22,589108;24,73815486066664;408,61
89;22,589108;24,733700568222194;413,54
90;22,589108;24,729504467777765;418,50
91;22,589108;24,72623382977775;423,51
92;22,589108;24,723078561555536;428,61
93;22,589108;24,719509307111085;433,56
94;22,589108;24,71638012799997;438,47
95;22,589108;24,713618547555523;443,58
96;22,589108;24,710481596666646;448,41
97;22,589108;24,708446670888872;453,18
98;22,589108;24,70513443711109;458,00
99;22,589108;24,703624132888873;462,95
100;22,589108;24,700337780888876;467,99
101;22,589108;24,6973652151111;472,80
102;22,589108;24,694918815111095;477,63
103;22,589108;24,69262200199998;482,62
104;22,589108;24,690245324444422;487,64
105;22,589108;24,687076480444425;492,52
106;22,589108;24,682736359777763;497,42
107;22,589108;24,67968810022222;502,46
108;22,589108;24,67479124266666;507,35
109;22,589108;24,67261031199999;512,25
110;22,589108;24,670014567333315;517,26
111;22,589108;24,666560461111086;522,33
112;22,589108;24,66368239444444;527,14
113;22,589108;24,659740949999986;531,93
114;22,589108;24,657782011555533;536,94
115;22,589108;24,65495578044443;541,86
116;22,589108;24,652020110444415;546,64
117;22,589108;24,64895809111109;551,38
118;22,589108;24,646681917999974;556,45
119;22,589108;24,64359618355553;561,38
120;22,589108;24,64042228733331;566,21
121;22,589108;24,637301666222207;571,08
122;22,589108;24,634561228666644;576,04
123;22,589108;24,632831127333304;580,83
124;22,589108;24,62957004311107;585,65
125;22,589108;24,62673721555551;590,53
126;22,589108;24,62421485511106;595,36
127;22,589108;24,62136834688884;600,12
128;22,589108;24,61801392311107;604,94
129;22,589108;24,615584607333307;609,83
130;22,589108;24,61204483888888;614,59
131;22,589108;24,608478036888876;619,26
132;22,589108;24,606042538444417;623,93
133;22,589108;24,603391705555534;628,74
134;22,589108;24,600441283333314;633,57
135;22,589108;24,598254753333322;638,25
136;22,589108;24,595354285111085;642,98
137;22,589108;24,5928023513333;647,86
138;22,589108;24,58988246088885;652,60
139;22,589108;24,586715828888853;657,22
140;22,589108;24,58403069866663;661,94
141;22,589108;24,581772826222192;666,77
142;22,589108;24,579722053333303;671,35
143;22,589108;24,577007765333295;676,07
144;22,589108;24,573908779333287;680,84
145;22,589108;24,57144618511106;685,56
146;22,589108;24,56860245555551;690,12
147;22,526892;24,56691407022217;694,80
148;22,526892;24,56477337644439;699,53
149;22,526892;24,56172920022218;704,24
150;22,526892;24,559101623555517;708,85
151;22,526892;24,557928703555515;713,46
152;22,526892;24,55575450311107;718,23
153;22,526892;24,553658237777732;722,92
154;22,526892;24,552235355999954;727,56
155;22,526892;24,550667773777725;732,10
156;22,526892;24,54905198466661;736,74
157;22,526892;24,54670278977771;741,41
158;22,526892;24,544674806888825;745,99
159;22,526892;24,54260702777772;750,72
160;22,526892;24,540067069999953;755,41
161;22,526892;24,53865811177774;760,02
162;22,526892;24,535354050666633;764,61
163;22,526892;24,533083022444423;769,26
164;22,526892;24,530139633777747;774,00
165;22,526892;24,528835926444412;778,65
166;22,526892;24,527057876444413;783,73
167;22,526892;24,52431361111108;788,98
168;22,526892;24,521029693111082;795,21
169;22,526892;24,519005423999968;800,07
170;22,526892;24,516678376222185;804,87
171;22,526892;24,514787080222174;809,69
172;22,526892;24,512994570444395;814,57
173;22,526892;24,51169282711107;819,25
174;22,526892;24,51000833333328;824,05
175;22,526892;24,5077172355555;828,99
176;22,526892;24,50618057311106;833,60
177;22,526892;24,504178955777714;838,25
178;22,526892;24,502904669333272;843,29
179;22,526892;24,501025295333285;848,47
180;22,526892;24,49934515555551;853,82
181;22,526892;24,498191541111066;858,80
182;22,526892;24,49655766488884;863,79
183;22,526892;24,49484282955549;868,65
184;22,526892;24,492764943333274;873,51
185;22,526892;24,491112012222167;878,49
186;22,526892;24,488867757111056;883,56
187;22,526892;24,487603987555506;888,34
188;22,526892;24,48539553111107;893,18
189;22,526892;24,48337410999996;897,91
190;22,526892;24,481775886666632;902,71
191;22,526892;24,48048206977775;907,45
192;22,526892;24,477782406888853;912,20
193;22,526892;24,476139509999967;917,31
194;22,526892;24,474659969333302;922,97
195;22,526892;24,473124183777752;928,53
196;22,526892;24,471722039999985;933,36
197;22,526892;24,46997630088888;938,09
198;22,526892;24,469025005333318;943,11
199;22,526892;24,467688320444434;948,00
200;22,526892;24,46639827644444;952,81
201;22,526892;24,464403311999995;957,73
202;22,526892;24,46313280733333;962,91
203;22,526892;24,461804773333338;968,11
204;22,526892;24,46028015355555;973,06
205;22,526892;24,458922319333332;978,11
206;22,526892;24,457199548888884;983,36
207;22,526892;24,455873986444452;988,18
208;22,526892;24,454762135777788;993,55
209;22,526892;24,452823661333333;998,70
210;22,526892;24,45143231422222;1004,24
211;22,526892;24,449366247111115;1009,91
212;22,526892;24,447536079777777;1015,37
213;22,526892;24,446239666222212;1020,63
214;22,526892;24,443844517333318;1025,77
215;22,526892;24,442136451777763;1030,93
216;22,526892;24,44036971911109;1036,27
217;22,526892;24,43864850555553;1041,68
218;22,526892;24,43698769644441;1047,16
219;22,526892;24,435559812888847;1052,57
220;22,526892;24,43444084044441;1058,25
221;22,526892;24,432975122222185;1063,79
222;22,526892;24,431150662666628;1070,76
223;22,526892;24,430026679999965;1076,99
224;22,526892;24,42888380111107;1082,88
225;22,526892;24,427078547777736;1089,83
226;22,526892;24,42596878777773;1096,22
227;22,526892;24,42455772222217;1101,70
228;22,526892;24,4229459015555;1108,47
229;22,526892;24,42122851044439;1118,16
230;22,526892;24,418800325111057;1124,34
231;22,526892;24,41802075266661;1130,27
232;22,526892;24,41658440399993;1135,95
233;22,526892;24,415050560222145;1141,44
234;22,526892;24,41384979222215;1147,02
235;22,526892;24,41225080444438;1152,69
236;22,526892;24,410643472666614;1158,35
237;22,526892;24,408489532666596;1164,09
238;22,526892;24,407233048666605;1169,94
239;22,526892;24,405598003333274;1175,75
240;22,526892;24,40457985199994;1182,19
241;22,526892;24,403289485777726;1189,57
242;22,526892;24,402153450222173;1196,43
243;22,526892;24,40031922977773;1203,06
244;22,526892;24,3988584324444;1209,44
245;22,526892;24,39724741466662;1215,96
246;22,526892;24,396322850888847;1222,31
247;22,526892;24,3955839104444;1228,91
248;22,526892;24,395157483999956;1235,64
249;22,526892;24,393297211555506;1242,37
250;22,526892;24,391771318222172;1249,09
