Generation;AverageBest;AverageAverage;AverageTime
0;4.7674629;5.945009289799999;0.0
1;4.7461469;5.898755355733333;0.34
2;4.7399515999999995;5.858850744666666;0.5660000000000001
3;4.7386719;5.826573751400001;0.775
4;4.700407;5.795862366333333;0.97
5;4.6990416;5.7667461918;1.157
6;4.6960521;5.745248088733334;1.351
7;4.6800255;5.7224892312;1.541
8;4.6800255;5.703238684866665;1.725
9;4.6628697;5.685230712399998;1.909
10;4.6628697;5.669289807733331;2.101
11;4.6516866;5.653851344666663;2.282
12;4.6500272;5.639960939866662;2.463
13;4.6493383999999995;5.625973732799995;2.647
14;4.6492292;5.613145855466662;2.83
15;4.6491999;5.601527493866661;3.011
16;4.6488135999999995;5.591908347199995;3.193
17;4.6476728;5.581842952133329;3.374
18;4.6476728;5.571617366333328;3.553
19;4.6368388;5.562197617999996;3.742
20;4.6368388;5.553586566599996;3.926
21;4.6368388;5.5443312193999965;4.11
22;4.6338263;5.535959352733331;4.295
23;4.6338263;5.528403732333331;4.485
24;4.6193223;5.521076342066662;4.668
25;4.6193223;5.513303411199996;4.854
26;4.6156321;5.506008668266663;5.04
27;4.6124365;5.499402927066663;5.226
28;4.6116105;5.493570795333331;5.411
29;4.601347;5.487084814133331;5.5969999999999995
30;4.6010053;5.480835125933331;5.781
31;4.6001519;5.475460585733331;5.968
32;4.6001312;5.469996389866664;6.148
33;4.6001312;5.464422663599997;6.332
34;4.6001312;5.458441781533331;6.514
35;4.5964905;5.453248712466665;6.698
36;4.5964905;5.447712407933331;6.882
37;4.5964905;5.4426517791999975;7.072
38;4.5957962;5.4383446836666645;7.261
39;4.5957962;5.433463376133331;7.451
40;4.5957962;5.428972936599999;7.639
41;4.5846159;5.424923271133332;7.833
42;4.5846159;5.4192264918;8.023
43;4.5846159;5.4147955706;8.212
44;4.5846159;5.410572967799999;8.401
45;4.5840918;5.406118658333333;8.587
46;4.5840918;5.402888880466666;8.776
47;4.5840918;5.398753690399999;8.963000000000001
48;4.5803791;5.394245691133332;9.145
49;4.5774769;5.390193424533332;9.333
50;4.5774769;5.386086873199998;9.52
51;4.5688189;5.382222894666665;9.707
52;4.5682841;5.379066075999997;9.896
53;4.5663956;5.375012978399998;10.079
54;4.5661446;5.371403381999998;10.269
55;4.5661446;5.36782003953333;10.465
56;4.5661446;5.364517045933331;10.657
57;4.5661446;5.361417719533331;10.841
58;4.5661446;5.357831075933331;11.035
59;4.5661446;5.354770261599997;11.225
60;4.5658399;5.352184270733331;11.423
61;4.5658399;5.349044397666665;11.621
62;4.5658399;5.345923023666665;11.814
63;4.5649945;5.343466860933332;12.004
64;4.5649945;5.340463441533331;12.192
65;4.5649945;5.337222379933332;12.376
66;4.5649945;5.334045484399998;12.561
67;4.5649945;5.330617786466665;12.751
68;4.5649945;5.328195868799998;12.943999999999999
69;4.5649945;5.325382988866664;13.138
70;4.5649945;5.3223768989333315;13.337
71;4.5347361;5.319409720533332;13.533000000000001
72;4.5347361;5.316554916733332;13.723
73;4.5347361;5.314114091133332;13.919
74;4.5347361;5.311746808133331;14.117
75;4.5347361;5.309425530066664;14.315999999999999
76;4.5346334;5.3069614815999975;14.509
77;4.5346334;5.304299661799997;14.703
78;4.533509;5.301468569466664;14.898
79;4.533509;5.299033391199998;15.092
80;4.5311873;5.296679487933331;15.288
81;4.5311873;5.294522009199998;15.481
82;4.5291878;5.291613155933332;15.675
83;4.5272936;5.289166250533332;15.868
84;4.5219818;5.286536654866665;16.063
85;4.5219818;5.284206922466665;16.255
86;4.5219818;5.281926406866664;16.447
87;4.5219818;5.279756876066664;16.636
88;4.516023;5.277269807199998;16.830000000000002
89;4.516023;5.275384930733331;17.031
90;4.516023;5.2729122411999985;17.229
91;4.516023;5.270927711799998;17.428
92;4.516023;5.268613350999999;17.626
93;4.516023;5.266625729466664;17.829
94;4.5159837;5.264576041399998;18.027
95;4.5121635;5.262388514266665;18.226
96;4.5121635;5.260701703599999;18.423000000000002
97;4.5121635;5.2590069185333315;18.628
98;4.5120024;5.257128749266665;18.83
99;4.5120024;5.255591024999998;19.031
100;4.5119293;5.253829499133332;19.229
101;4.5069129;5.251902657066665;19.428
102;4.5069129;5.250168118466665;19.625
103;4.5069129;5.248145300666665;19.823999999999998
104;4.5069129;5.246173147933332;20.023
105;4.5069129;5.244590585133332;20.22
106;4.5069129;5.243164977866666;20.418
107;4.5069129;5.240943585333333;20.62
108;4.5069129;5.238838898266666;20.816
109;4.5064508;5.2368633375333316;21.017
110;4.5064508;5.235152743399999;21.218
111;4.5064508;5.233306290733331;21.424
112;4.5038531;5.230984331133332;21.629
113;4.5038531;5.229605649733331;21.842
114;4.5038531;5.227867335999997;22.046
115;4.5038531;5.226312388333331;22.247
116;4.5029994;5.22494278473333;22.451
117;4.5029994;5.223211072466664;22.66
118;4.5029994;5.221422532666664;22.866
119;4.5029994;5.219802098199998;23.066
120;4.4976436;5.218279611666665;23.266
121;4.4942122;5.2169644967999975;23.472
122;4.4942122;5.215686929933332;23.675
123;4.4896588;5.213897191466666;23.880000000000003
124;4.4896588;5.212608715999999;24.084
125;4.4896588;5.211377109133332;24.292
126;4.4896588;5.210070108599999;24.496
127;4.4896588;5.208434835999999;24.701
128;4.4896588;5.2065856183333326;24.906
129;4.4896588;5.2049029664;25.115
130;4.4896588;5.203346532533333;25.328
131;4.4896588;5.2017388557999995;25.538
132;4.485742800000001;5.200308782733333;25.744
133;4.485742800000001;5.198798186266665;25.951
134;4.485742800000001;5.197445148933332;26.158
135;4.485742800000001;5.1955075210666655;26.366
136;4.4835466;5.194074995066665;26.578
137;4.4835466;5.192940013933331;26.786
138;4.4835466;5.191952834799999;26.998
139;4.4835466;5.190356495599998;27.204
140;4.4835466;5.188973359266664;27.411
141;4.4835466;5.187600973533332;27.625
142;4.4835466;5.186232724066665;27.835
143;4.483461800000001;5.184814270866665;28.047
144;4.483461800000001;5.183670920733332;28.261
145;4.483461800000001;5.182469166999999;28.473
146;4.483461800000001;5.181396286999998;28.682
