Generation;Best;Average;ElapsedSeconds
0;6,594432;8,22838096866667;0,00
1;6,594432;8,172641744666675;0,45
2;6,594432;8,11773551266667;0,75
3;6,594432;8,076025800666663;0,98
4;6,561131;8,03801597933333;1,20
5;6,561131;7,999272126000002;1,39
6;6,561131;7,973151552666672;1,62
7;6,561131;7,949255162666674;1,84
8;6,561131;7,925523358666679;2,05
9;6,528752;7,899252031333339;2,26
10;6,505008;7,880074053333343;2,50
11;6,464148;7,856336534000007;2,69
12;6,464148;7,833410222666668;2,88
13;6,464148;7,816819993333335;3,06
14;6,464148;7,802665940666664;3,26
15;6,464148;7,782458879333329;3,47
16;6,464148;7,770941049333327;3,68
17;6,464148;7,757109938666659;3,88
18;6,464148;7,743001918666658;4,08
19;6,464148;7,73029580399999;4,32
20;6,464148;7,715041508666658;4,57
21;6,464148;7,704085723999991;4,80
22;6,464148;7,693724937999989;5,02
23;6,464148;7,686194765999988;5,25
24;6,464148;7,678722977999992;5,50
25;6,464148;7,672004561999996;5,73
26;6,464148;7,662378685333328;5,93
27;6,464148;7,65451244533333;6,15
28;6,464148;7,64403645133333;6,37
29;6,464148;7,63590471733333;6,59
30;6,464148;7,630568847999997;6,79
31;6,464148;7,623183429333331;7,01
32;6,464148;7,6170887180000015;7,22
33;6,464148;7,608387904000004;7,42
34;6,464148;7,602826437333337;7,63
35;6,464148;7,596933172000002;7,86
36;6,464148;7,593804501999998;8,09
37;6,464148;7,586105731333331;8,28
38;6,464148;7,579038884666669;8,48
39;6,464148;7,5726906633333355;8,70
40;6,464148;7,567913794666668;8,94
41;6,464148;7,564647125333336;9,16
42;6,464148;7,560867262666671;9,38
43;6,464148;7,55681547866667;9,63
44;6,464148;7,553761412000007;9,83
45;6,464148;7,548692881333341;10,07
46;6,464148;7,5445822213333384;10,26
47;6,464148;7,5418314326666716;10,48
48;6,464148;7,537284232666672;10,70
49;6,464148;7,532447984666671;10,91
50;6,464148;7,529656954666671;11,11
51;6,464148;7,524472830000002;11,33
52;6,464148;7,521501196000001;11,53
53;6,464148;7,515908785333336;11,73
54;6,464148;7,512978764666667;11,95
55;6,464148;7,507740091333335;12,16
56;6,464148;7,505228885999999;12,39
57;6,464148;7,501244103999999;12,65
58;6,464148;7,496103580666665;12,91
59;6,464148;7,493631939333327;13,17
60;6,464148;7,489849906666664;13,42
61;6,464148;7,48615735533333;13,64
62;6,464148;7,482424709333332;13,84
63;6,464148;7,478725245333334;14,04
64;6,464148;7,475420839333334;14,25
65;6,464148;7,473289384666668;14,44
66;6,464148;7,471101240666664;14,64
67;6,464148;7,469913205333333;15,08
68;6,464148;7,468593671999999;15,46
69;6,464148;7,465515583333335;15,77
70;6,464148;7,462145842000005;16,03
71;6,464148;7,459896681333338;16,33
72;6,464148;7,456949776000004;16,62
73;6,464148;7,454056564666675;16,94
74;6,464148;7,451267196666675;17,21
75;6,464148;7,448893474000008;17,49
76;6,464148;7,445393322666677;17,78
77;6,464148;7,444247507333344;18,05
78;6,464148;7,4420113706666795;18,31
79;6,464148;7,439052560000012;18,57
80;6,464148;7,436796724666676;18,90
81;6,464148;7,43488176600001;19,21
82;6,464148;7,432831032666674;19,48
83;6,464148;7,431211922666675;19,79
84;6,456522;7,427630654000007;20,09
85;6,456522;7,425507144666671;20,39
86;6,456522;7,423047281333337;20,67
87;6,456522;7,420267343333337;20,96
88;6,456522;7,418036398666668;21,25
89;6,456522;7,416007707333336;21,50
