Generation;AverageBest;AverageAverage;AverageTime
0;10.0135037;11.953560262799982;0.0
1;9.9567786;11.893966210599983;0.406
2;9.9511668;11.842171017399984;0.6819999999999999
3;9.9309294;11.79448497693332;0.908
4;9.927673;11.752374423333316;1.127
5;9.9132999;11.717575657999982;1.344
6;9.895761499999999;11.684249888066653;1.558
7;9.8765445;11.653353144933318;1.773
8;9.8765445;11.625193691933317;1.979
9;9.8765445;11.599794087199983;2.193
10;9.8702095;11.575173069533315;2.406
11;9.8702095;11.552914056799985;2.621
12;9.864263;11.53045059466665;2.825
13;9.864263;11.512713902199982;3.035
14;9.864263;11.494416897599985;3.243
15;9.864263;11.476497193599986;3.449
16;9.864263;11.458953513066653;3.657
17;9.864263;11.443316075466655;3.8689999999999998
18;9.8613239;11.427999393599986;4.076
19;9.8613239;11.413827181866651;4.289
20;9.8613239;11.398292584933321;4.499
21;9.8595744;11.382949012266655;4.709
22;9.8595744;11.369871571133324;4.92
23;9.856557;11.359717624333324;5.133
24;9.8550734;11.348176663333325;5.345
25;9.8550734;11.336305344399987;5.551
26;9.846534;11.325611789466656;5.761
27;9.8340184;11.31518369819999;5.9719999999999995
28;9.8340184;11.30561931633332;6.18
29;9.8340184;11.294948549133322;6.391
30;9.8340184;11.286282347799988;6.601
31;9.8140705;11.277577995466656;6.81
32;9.8140705;11.26832415779999;7.016
33;9.8115997;11.25977961679999;7.224
34;9.8115997;11.251992156133323;7.436
35;9.8115997;11.243928367333325;7.646
36;9.8115997;11.236602698599992;7.856999999999999
37;9.8115997;11.229411442799993;8.072
38;9.8115997;11.221991731466659;8.286
39;9.8115047;11.214792950599994;8.503
40;9.7541653;11.207819167599995;8.725
41;9.7538901;11.200292010733326;8.94
42;9.7538901;11.193499319199992;9.15
43;9.7538901;11.187144846266659;9.361
44;9.7538901;11.180516892066658;9.571
45;9.7511305;11.175033490866657;9.784
46;9.7436854;11.16931929599999;9.995000000000001
47;9.6840068;11.163701462466657;10.205
48;9.6836957;11.158235469599989;10.419
49;9.6836957;11.152557804933322;10.64
50;9.6836957;11.146599199666657;10.854
51;9.6836957;11.141026366599988;11.072000000000001
52;9.6831921;11.136458555933322;11.291
53;9.6831921;11.130987867533321;11.506
54;9.6831921;11.125805300266656;11.727
55;9.6756321;11.120951507866653;11.951
56;9.6723683;11.116108983599986;12.171
57;9.6723683;11.111476239266654;12.397
58;9.6264352;11.106681015799985;12.613
59;9.6264352;11.102978117066653;12.829
60;9.6264352;11.099253250666655;13.046
61;9.6264352;11.093882035599988;13.264
62;9.6264352;11.089814695866655;13.477
63;9.6264352;11.085691765066654;13.693
64;9.6264352;11.08134460419999;13.911
65;9.6257224;11.07680883139999;14.129
66;9.6257224;11.072674932866658;14.352
67;9.6257224;11.068536516799993;14.576
68;9.6257224;11.064307716266658;14.801
69;9.6233083;11.06013464346666;15.028
70;9.6225257;11.056542284666659;15.259
71;9.6225257;11.053014944333325;15.484
72;9.6225257;11.049450248133324;15.709
73;9.6172575;11.045483348133324;15.939
74;9.6172575;11.04177126819999;16.166
75;9.6172575;11.038426316866657;16.396
76;9.6114591;11.03414923519999;16.623
77;9.6114591;11.03048762639999;16.846
78;9.6114591;11.027334904533324;17.072
79;9.6092058;11.02435315166666;17.3
80;9.6085615;11.020847099999994;17.529
81;9.6085615;11.017657470466661;17.751
82;9.6085615;11.015067046066662;17.983
83;9.6085615;11.012128040799993;18.217
84;9.6085615;11.008940283133327;18.454
85;9.6016087;11.005805193199993;18.69
86;9.6016087;11.002383483666662;18.926
87;9.5967209;10.999113106333327;19.165
88;9.594161;10.996247613733326;19.399
89;9.594161;10.993485557533326;19.638
90;9.594161;10.990646747999993;19.878
91;9.594161;10.987823443599995;20.11
92;9.594161;10.985321453999996;20.34
93;9.594161;10.982546752399996;20.573
94;9.594161;10.979129583333329;20.81
95;9.594161;10.976644242933327;21.044999999999998
96;9.594161;10.973308908333328;21.281
97;9.594161;10.970235999533328;21.517
98;9.5917529;10.967181154133328;21.75
99;9.5917529;10.964286923199994;21.991
100;9.5917529;10.96175324406666;22.229
101;9.5917529;10.95810607426666;22.479
102;9.5917529;10.955391510933326;22.723
103;9.5917529;10.952938354199993;22.972
104;9.5917529;10.950357430399993;23.219
105;9.5917529;10.947121217799992;23.465
106;9.5917529;10.944301184599993;23.71
107;9.5917529;10.941481399799992;23.953
108;9.5917529;10.939300140066658;24.195
109;9.5917529;10.936705240666658;24.434
110;9.5917529;10.93481192159999;24.678
111;9.5917529;10.93275905126666;24.92
112;9.5917529;10.930899192533325;25.156
113;9.5917529;10.928388297133326;25.402
114;9.5894501;10.926158437199991;25.651
115;9.5894501;10.92425866979999;25.897000000000002
116;9.5894501;10.92223088139999;26.142
117;9.5894501;10.92024568839999;26.395
118;9.5881106;10.917364274466658;26.645
119;9.5830345;10.914993794666659;26.901
120;9.5830345;10.912979539333325;27.157
121;9.5830345;10.91143355759999;27.413
122;9.5830345;10.908891500599992;27.667
123;9.5808823;10.906962988999993;27.92
124;9.5727143;10.904800344599993;28.166
125;9.5727143;10.902611114533327;28.418
126;9.5727143;10.900251025399992;28.668
127;9.5727143;10.898037217133325;28.915
128;9.5727143;10.89609020326666;29.165
129;9.5727143;10.893104569266658;29.415
130;9.5727143;10.890711395266658;29.665
131;9.5727143;10.888616586066659;29.919
132;9.5677978;10.886849597999992;30.177
133;9.5677978;10.884642718933327;30.43
134;9.5677978;10.882464993066659;30.691
135;9.567565199999999;10.880567444399993;30.956
136;9.565500199999999;10.878493987866658;31.218
137;9.565500199999999;10.876595188333326;31.481
138;9.565500199999999;10.874475651133325;31.743
139;9.565500199999999;10.87260771119999;32.003
140;9.565500199999999;10.870419257666658;32.262
141;9.565500199999999;10.869096392466657;32.518
142;9.565500199999999;10.867188037866658;32.775
143;9.565500199999999;10.86524065099999;33.031
144;9.565500199999999;10.86337233159999;33.286
145;9.565500199999999;10.861361280799992;33.542
146;9.565500199999999;10.859587933333325;33.804
147;9.565500199999999;10.857425527733325;34.062
148;9.565500199999999;10.855916884599992;34.326
149;9.565500199999999;10.854142284999991;34.587
150;9.565417;10.85197224399999;34.849
151;9.565417;10.850252897533323;35.117
152;9.565417;10.848297944066656;35.391
153;9.565417;10.84617916659999;35.663000000000004
154;9.5620699;10.844274485266656;35.938
155;9.5620699;10.842492081199989;36.21
156;9.5620699;10.840970835533325;36.478
157;9.5620699;10.839245690999991;36.751
158;9.5620699;10.83755631079999;37.014
159;9.5620699;10.83617705139999;37.289
160;9.5620699;10.834796909266657;37.569
161;9.5620699;10.833143625333323;37.841
162;9.5620699;10.830922644333324;38.103
163;9.5620699;10.829271531266658;38.368
164;9.5620699;10.82775676359999;38.653999999999996
165;9.5620699;10.826356429666657;38.94
166;9.5620699;10.82518232479999;39.223
167;9.561998299999999;10.823687242066656;39.503
168;9.554226;10.822503263466656;39.784
169;9.5519232;10.820394251333322;40.062
170;9.5519232;10.81929539559999;40.348
171;9.5519232;10.81748242159999;40.628
172;9.5517566;10.815969261533324;40.909
173;9.5517566;10.81423989839999;41.188
174;9.5440217;10.812914457733322;41.467
175;9.5440217;10.811854887066655;41.759
176;9.5440217;10.810104509933321;42.055
177;9.5427011;10.808871693333321;42.341
178;9.5427011;10.807840419599987;42.62
179;9.5427011;10.80673603339999;42.9
180;9.5427011;10.805732688666655;43.196
181;9.5427011;10.804674915799989;43.493
182;9.5427011;10.803035553399988;43.788
183;9.5427011;10.801569540133322;44.073
184;9.5427011;10.799814279199989;44.361000000000004
185;9.5427011;10.798801748333322;44.647999999999996
186;9.5427011;10.797744849333323;44.943
187;9.5427011;10.796235272866657;45.238
188;9.542396;10.794833957866656;45.539
189;9.542396;10.793578108333321;45.831
190;9.542396;10.792160373266656;46.131
191;9.542396;10.791196270533321;46.428
192;9.542396;10.789876742533322;46.717
193;9.542396;10.788605275333323;47.016999999999996
194;9.542396;10.786847352666657;47.325
195;9.5357916;10.785680687466655;47.63
196;9.5357916;10.78393121279999;47.934
197;9.5357916;10.782808443533323;48.249
198;9.5357916;10.781573478266656;48.56
199;9.535393599999999;10.780455218666656;48.861
200;9.5335437;10.77915465099999;49.158
201;9.5335437;10.777799202333325;49.45
202;9.5335437;10.776464935799991;49.737
203;9.5335437;10.77521094659999;50.027
204;9.5335437;10.77370423799999;50.318
205;9.5335437;10.772020076666658;50.614
206;9.5335437;10.770849339999991;50.913
207;9.5335437;10.769633877333323;51.204
208;9.5335437;10.768354391733324;51.502
209;9.5335437;10.767441100466655;51.794
210;9.5312652;10.766275617533323;52.091
211;9.5312652;10.76538713219999;52.387
212;9.5297807;10.76449828199999;52.679
213;9.5297807;10.76385529919999;52.978
214;9.5297807;10.76279709759999;53.272
215;9.5297807;10.761756204066655;53.568
216;9.5297807;10.760444364199989;53.863
217;9.52557;10.759231524999988;54.159
218;9.52557;10.757915008266654;54.455
219;9.52557;10.756744660199988;54.752
220;9.520331;10.755488720733322;55.045
221;9.520331;10.754515363066654;55.342
222;9.520331;10.75339934913332;55.638
223;9.520331;10.75240320713332;55.944
224;9.520331;10.75153429573332;56.269
225;9.5189345;10.750188281066654;56.586
226;9.5189345;10.748614173666653;56.895
227;9.5189345;10.747413410799986;57.195
228;9.5189345;10.74624039593332;57.5
229;9.5189345;10.745200994266654;57.802
230;9.5189345;10.744244134999986;58.1
231;9.5189345;10.74285445433332;58.406
232;9.5189345;10.741836226333321;58.711
233;9.5189345;10.740898878399987;59.015
234;9.5189345;10.740165677599988;59.321
235;9.5189345;10.738907510866655;59.621
236;9.5189345;10.738002762266655;59.927
237;9.5189345;10.737083090799988;60.235
238;9.5189345;10.73594262939999;60.547
239;9.5189345;10.735042925533325;60.851
240;9.5189345;10.733872497866658;61.156000000000006
241;9.5189345;10.73282872959999;61.461999999999996
242;9.5189345;10.731792480066657;61.771
243;9.472304;10.731066324733323;62.078
244;9.472304;10.73010849859999;62.387
245;9.472304;10.72911679279999;62.695
246;9.472304;10.728356042266658;63.0
247;9.472220799999999;10.727203441333323;63.305
248;9.472220799999999;10.726221023533324;63.61
249;9.472220799999999;10.725103649466657;63.914
250;9.472220799999999;10.72407183019999;64.222
251;9.471513999999999;10.723055940466658;64.53
252;9.4714238;10.722386083866656;64.838
253;9.4714238;10.721148591733323;65.155
254;9.4714238;10.720371604266658;65.461
255;9.4714238;10.719355978466657;65.769
256;9.4714238;10.718626707199991;66.079
257;9.4714238;10.717758814666658;66.386
258;9.4694918;10.716593196333324;66.69200000000001
259;9.4694918;10.715663349666658;67.001
260;9.4694918;10.714857082666658;67.31099999999999
261;9.4694918;10.714143517466658;67.627
262;9.4694918;10.713052877533324;67.943
263;9.4694918;10.712348872266656;68.259
264;9.4694918;10.711424824133323;68.573
265;9.4694918;10.710554072533323;68.887
266;9.4694918;10.709206095133323;69.19800000000001
267;9.4694918;10.708598547866659;69.508
268;9.4694918;10.70788755779999;69.818
269;9.4694918;10.707395116333325;70.131
270;9.4694918;10.70662292599999;70.436
271;9.4694918;10.706001048266659;70.749
272;9.4694918;10.704997732066657;71.061
273;9.4694918;10.70399627739999;71.374
274;9.4694918;10.703221470933324;71.685
275;9.4694918;10.702529886666657;71.999
276;9.4694918;10.70159199319999;72.318
277;9.4694918;10.70054173579999;72.629
278;9.4694918;10.69946838079999;72.947
279;9.4694918;10.698581183933324;73.261
280;9.4694918;10.697620487333324;73.58
281;9.4694918;10.696747065466658;73.898
282;9.4694918;10.696249872266657;74.21600000000001
283;9.4694918;10.695336079533325;74.535
284;9.4176395;10.694530898599991;74.851
285;9.4158881;10.693659343599991;75.173
286;9.414520099999999;10.693144666399991;75.49300000000001
287;9.414520099999999;10.692171781533323;75.807
288;9.414520099999999;10.691148988333325;76.126
289;9.414520099999999;10.690249836133324;76.437
290;9.414520099999999;10.68946797519999;76.754
291;9.414520099999999;10.689006555133325;77.075
292;9.414520099999999;10.688201687399992;77.391
293;9.414520099999999;10.687191109466658;77.706
294;9.414520099999999;10.686588706333325;78.022
295;9.414520099999999;10.685739599133324;78.337
296;9.414520099999999;10.684840920999992;78.654
297;9.40654;10.68391100979999;78.974
298;9.40654;10.68307472799999;79.30199999999999
299;9.40654;10.682381118666658;79.62899999999999
300;9.40654;10.68188382279999;79.948
