Generation;Best;Average;ElapsedSeconds
0;8,283359;9,855230835666672;0,00
1;8,2694;9,765702562666654;1,17
2;8,2694;9,69328913599999;2,31
3;8,2694;9,628655771000012;3,43
4;8,2694;9,582160663000016;4,51
5;8,2694;9,544526599666675;5,58
6;8,238817;9,510955150333345;6,70
7;8,235732;9,479994915333346;7,77
8;8,235732;9,451985391666678;8,84
9;8,235732;9,43204490133334;9,91
10;8,16227;9,411896435000005;10,98
11;8,16227;9,39305776666667;12,10
12;8,16227;9,376947830333338;13,27
13;8,16227;9,358240614666679;14,39
14;8,16227;9,344704906333346;15,48
15;8,16227;9,330205856666673;16,64
16;8,16227;9,315482891666672;17,80
17;8,16227;9,304427336666661;18,97
18;7,607622;9,290441000333326;20,27
19;7,607622;9,27956520333334;21,75
20;7,607622;9,26955506800001;23,13
21;7,607622;9,25964312966667;24,51
22;7,607622;9,246705864666671;25,88
23;7,607622;9,237253800000008;27,25
24;7,607622;9,226654213666672;28,63
25;7,607622;9,216395888666668;30,03
26;7,607622;9,208469212333334;31,40
27;7,607622;9,200580817000002;32,80
28;7,607622;9,191732799666669;34,14
29;7,607622;9,183033686333335;35,55
30;7,607622;9,17541746333333;37,00
31;7,607622;9,166855667333339;38,44
32;7,607622;9,159542995333334;39,87
33;7,607622;9,15373844733333;41,32
34;7,6047270000000005;9,147549486333329;42,79
35;7,6047270000000005;9,141384387333332;44,24
36;7,6047270000000005;9,133497507000001;45,68
37;7,6047270000000005;9,127358417666668;47,14
38;7,6047270000000005;9,121869934333333;48,60
39;7,6047270000000005;9,11529999133333;50,07
40;7,6047270000000005;9,111393209000001;51,50
41;7,6047270000000005;9,106126099666671;52,99
42;7,6047270000000005;9,101200443666672;54,48
43;7,6047270000000005;9,09567253433334;55,99
44;7,6047270000000005;9,089716061000006;57,45
45;7,6047270000000005;9,085199596333341;58,91
46;7,6047270000000005;9,08047215966667;60,38
47;7,6047270000000005;9,076692571333332;61,87
48;7,6047270000000005;9,071036523999993;63,33
49;7,6047270000000005;9,06404126933332;64,84
50;7,6047270000000005;9,06024772099999;66,32
51;7,6047270000000005;9,056154168666655;67,78
52;7,6047270000000005;9,05395870899999;69,27
53;7,6047270000000005;9,050467563999987;70,81
54;7,6047270000000005;9,045449669999995;72,26
55;7,6047270000000005;9,040529807666664;73,65
56;7,6047270000000005;9,036477892666657;75,07
57;7,6047270000000005;9,032912278999984;76,46
58;7,6047270000000005;9,02902842566665;77,88
59;7,6047270000000005;9,025775334333318;79,28
60;7,6047270000000005;9,022255499666654;80,74
61;7,6047270000000005;9,019480065333319;82,13
62;7,6047270000000005;9,016511512333317;83,51
63;7,6047270000000005;9,012840999999991;84,94
64;7,6047270000000005;9,008689570666649;86,40
65;7,6047270000000005;9,005079770333321;87,84
66;7,6047270000000005;9,002145756333324;89,27
67;7,6047270000000005;8,997444199;90,68
68;7,6047270000000005;8,993398155000001;92,09
69;7,6047270000000005;8,990124486000013;93,48
70;7,6047270000000005;8,987230329666676;95,03
71;7,6047270000000005;8,984627716333339;96,55
72;7,6047270000000005;8,979895365000006;98,02
73;7,6047270000000005;8,97707491900001;99,46
74;7,6047270000000005;8,975443549333342;100,92
75;7,6047270000000005;8,973453700333337;102,41
76;7,601514;8,970962394000006;103,89
77;7,601514;8,967524068000003;105,37
78;7,601514;8,964726805333335;106,85
79;7,601514;8,96240834333333;108,32
80;7,601514;8,960504348;109,82
81;7,601514;8,958037611666661;111,32
82;7,601514;8,956450835666663;112,82
83;7,601514;8,952690370666666;114,32
84;7,601514;8,949942943999995;115,80
85;7,601514;8,948030324333326;117,30
86;7,601514;8,944802531333329;118,80
87;7,601514;8,943058167999999;120,29
88;7,601514;8,93926011733333;121,82
89;7,601514;8,938077373999997;123,30
90;7,600409;8,935534976333333;124,81
91;7,600409;8,932943307999995;126,33
92;7,600409;8,930852830666662;127,86
93;7,600409;8,928198773333326;129,36
94;7,600409;8,925392607666657;130,87
95;7,600409;8,922746125333326;132,44
96;7,600409;8,920179323333324;133,94
97;7,600409;8,918290706666657;135,43
98;7,600409;8,916525104666663;136,97
99;7,600409;8,913474589666658;138,50
100;7,600409;8,91154162599999;140,04
101;7,600409;8,908984874999987;141,59
102;7,600409;8,906033492666655;143,12
103;7,600409;8,903693423666653;144,65
104;7,600409;8,900794385666654;146,16
105;7,600409;8,899157063999983;147,67
106;7,600409;8,896980271333316;149,20
107;7,600409;8,894692492999987;150,75
108;7,600409;8,891107116999983;152,31
109;7,600409;8,889510691333316;153,81
110;7,600409;8,887917659666655;155,29
111;7,600409;8,885379029666655;156,82
112;7,600409;8,883074176333318;158,31
113;7,600409;8,879024648333324;159,77
114;7,600409;8,876428658666658;161,25
115;7,600409;8,873452934666659;162,69
116;7,600409;8,870508912333325;164,15
117;7,600409;8,868926766999994;165,58
118;7,600409;8,867063893333333;167,03
119;7,600409;8,865175787999995;168,49
120;7,600409;8,86357235833333;170,28
121;7,600409;8,859950766999999;171,75
122;7,597189;8,859061932333328;173,18
123;7,597189;8,857487506999991;174,65
124;7,597189;8,856250187333327;176,14
125;7,597189;8,852630360666659;177,62
126;7,597189;8,850574510666668;179,11
127;7,597189;8,84910223966666;180,59
128;7,597189;8,847256445666662;182,09
129;7,597189;8,845406796666664;183,57
130;7,597189;8,843667549999992;185,05
131;7,597189;8,842676341999997;186,55
132;7,597189;8,840566960999995;188,02
133;7,597189;8,83949539333333;189,48
134;7,597189;8,838117814333325;190,92
135;7,597189;8,836562854666656;192,39
136;7,597189;8,833154038999991;193,87
137;7,597189;8,831878474333326;195,34
138;7,597189;8,83059162266666;196,84
139;7,597189;8,828530184666652;198,33
140;7,597189;8,825965853333319;199,82
141;7,594519;8,824004713666655;201,33
142;7,594519;8,822988988333318;202,83
143;7,594519;8,821379566666645;204,34
144;7,594519;8,818623989666648;205,83
145;7,594519;8,817573423333313;207,34
146;7,594519;8,816713604999979;208,84
147;7,594519;8,815403364999979;210,38
148;7,594507;8,813987128333316;211,88
149;7,594507;8,812564537999982;213,44
150;7,594507;8,811214319333319;214,98
151;7,594507;8,809840911333314;216,52
152;7,594507;8,809181117333313;218,07
153;7,594507;8,807372799666645;219,61
154;7,594507;8,805560638333313;221,16
155;7,594507;8,803300667666644;222,72
156;7,594507;8,802304872333318;224,31
157;7,594507;8,801186609666644;225,88
158;7,594507;8,80012138899998;227,47
159;7,594507;8,798527731666649;229,09
160;7,594507;8,797187701666656;230,65
161;7,594507;8,795644398666656;232,19
162;7,594507;8,793585471666656;233,76
163;7,594507;8,791475104333328;235,33
164;7,594507;8,789897911999994;236,89
165;7,594507;8,789043598333325;238,46
166;7,594507;8,788042368666659;240,02
167;7,594507;8,786833567333325;241,66
168;7,594507;8,78540945066666;243,48
169;7,594507;8,78360181066666;245,12
170;7,594507;8,782816604999992;246,73
171;7,594507;8,781937784333325;248,35
172;7,594507;8,780837628666658;249,97
173;7,594507;8,778702187333323;251,62
174;7,594507;8,777146387333323;253,25
175;7,594507;8,77513225633332;254,94
176;7,594507;8,773680931999989;256,62
177;7,594507;8,772378623999987;258,29
178;7,594507;8,771274850666654;259,96
179;7,594507;8,770881199666654;261,63
180;7,594507;8,770016481999987;263,31
181;7,594507;8,768876734333322;265,02
182;7,594507;8,767806478999988;266,74
183;7,594507;8,766316450333322;268,43
184;7,594507;8,764922472999984;270,13
185;7,594507;8,764125750666652;271,80
186;7,594507;8,76342674966665;273,49
187;7,594507;8,762688573333323;275,20
188;7,594507;8,760791990333319;276,88
189;7,594507;8,759973572666654;278,60
190;7,594507;8,758755982333325;280,31
191;7,594507;8,757340973666663;282,01
192;7,564593;8,755643056333325;283,73
193;7,564593;8,754359065333329;285,41
194;7,5331150000000004;8,752960487333327;287,14
195;7,5331150000000004;8,751171653666658;288,89
196;7,5331150000000004;8,750020953666658;290,67
197;7,5331150000000004;8,749010559333325;292,44
198;7,5331150000000004;8,747741291333325;294,23
199;7,5331150000000004;8,745524341999994;295,98
200;7,5331150000000004;8,743331216333324;297,79
201;7,5331150000000004;8,742473514333325;299,55
202;7,5331150000000004;8,741237155999988;301,32
203;7,5331150000000004;8,740632811666657;303,06
204;7,5331150000000004;8,739566070333323;304,83
205;7,508833;8,73750810499999;306,69
206;7,508833;8,73602589499999;308,49
207;7,508833;8,735138543666661;310,34
208;7,506523;8,733810048999993;312,19
209;7,506523;8,731932348666655;314,03
210;7,506523;8,730811249666653;315,86
211;7,506523;8,730121166999984;317,67
212;7,506523;8,728859801666653;319,77
213;7,506523;8,727187846999987;321,72
214;7,506523;8,72626673499999;323,58
215;7,506523;8,725157983999987;325,47
216;7,506523;8,72419819266665;327,40
217;7,506523;8,72264904633332;329,07
218;7,506523;8,722251989999988;330,94
219;7,506523;8,721668746666655;332,92
220;7,506523;8,720383306999988;334,81
221;7,506523;8,718883649666655;336,70
222;7,506523;8,718417066333323;338,67
223;7,506523;8,716913526666652;340,65
224;7,506523;8,715681471333319;342,58
225;7,506523;8,715349768333322;344,50
226;7,506523;8,714821547999987;346,43
227;7,506523;8,713940075999988;348,37
228;7,506523;8,713151317333327;350,33
229;7,506523;8,712711143999986;352,33
230;7,506523;8,711977086999982;354,31
231;7,506523;8,711066956999982;356,19
232;7,506523;8,70955949899998;358,14
233;7,506523;8,70853095066665;360,08
234;7,506523;8,707315278999987;361,96
235;7,506523;8,706851255333321;363,84
236;7,506523;8,70549542199999;365,79
237;7,506523;8,70448040366665;367,72
238;7,506523;8,703653376999982;369,72
239;7,506523;8,703142678666644;371,75
240;7,506523;8,702524963666646;373,69
241;7,506523;8,701260341999983;375,66
242;7,506523;8,700525040666653;377,66
243;7,506523;8,699908166999991;379,61
244;7,506523;8,699581910999989;381,68
245;7,506523;8,698793698333324;383,82
246;7,506523;8,697957797333322;385,80
247;7,506523;8,697144272666657;387,84
248;7,506523;8,695988220666656;389,89
249;7,506523;8,695004309333324;391,93
250;7,506523;8,694175825333323;393,99
251;7,494235;8,693020980333323;396,09
252;7,494235;8,692556172999986;398,27
253;7,494235;8,69122562666665;400,31
254;7,494235;8,690462271333317;402,41
255;7,494235;8,690214147999985;404,53
256;7,494235;8,689031670666653;406,45
257;7,494235;8,687734535999985;408,44
258;7,494235;8,687024388666648;410,57
259;7,494235;8,686337959333317;412,72
260;7,494235;8,685963777999984;414,56
261;7,491351;8,685153115999984;416,68
262;7,491351;8,684677690666652;418,72
263;7,423101;8,684433944999984;420,82
264;7,423101;8,684046462666654;422,72
265;7,423101;8,683843855666654;424,57
266;7,423101;8,683270579999988;426,59
267;7,423101;8,681997050333319;428,50
268;7,423101;8,68094021566665;430,50
269;7,423101;8,679668506666651;432,34
270;7,423101;8,67876326633332;434,20
271;7,420833;8,678304183999984;436,21
272;7,420833;8,677929193999981;438,40
273;7,420833;8,677376198666648;440,51
274;7,420833;8,676720518666652;442,61
275;7,420833;8,675782180666651;444,44
276;7,420833;8,67551977166665;446,41
277;7,420833;8,674825780999987;448,45
278;7,420833;8,674131905666652;450,42
279;7,420833;8,673933478999983;452,49
280;7,420833;8,67288085499998;454,29
281;7,420833;8,671879856333312;456,33
282;7,420833;8,67108208833331;458,44
283;7,420833;8,670370908666648;460,38
284;7,420833;8,669988790333315;462,40
285;7,420833;8,669815253333315;464,48
286;7,420833;8,668588552999983;466,50
287;7,420833;8,66744107366665;468,85
288;7,420833;8,666378248999981;470,95
289;7,420833;8,665722728333318;473,09
290;7,420833;8,665315561999984;474,89
291;7,420833;8,664722246666653;477,11
292;7,420833;8,664242004333316;479,15
293;7,420833;8,663188418999983;481,11
294;7,420833;8,66222234499998;483,18
295;7,420833;8,660507791333314;485,33
296;7,420833;8,660344563999978;487,45
297;7,420833;8,660069697999978;489,41
298;7,420833;8,659803317999975;491,46
299;7,420833;8,659151279999978;493,48
300;7,420833;8,658199438333316;495,54
