Generation;AverageBest;AverageAverage;AverageTime
0;4.7184728;5.889409359600001;0.001
1;4.7106565;5.843958497399999;0.424
2;4.7054478;5.806820544000002;0.709
3;4.6982584;5.774661249200003;0.957
4;4.6843151;5.745063114666671;1.197
5;4.6805228;5.719414619133337;1.42
6;4.6802541;5.69378878986667;1.647
7;4.6791125000000005;5.672419477533336;1.867
8;4.6791125000000005;5.654125261733335;2.088
9;4.6780441;5.634911781733336;2.319
10;4.6684031;5.617522612266668;2.556
11;4.6684031;5.602488011066668;2.796
12;4.6635915;5.588308109666668;3.02
13;4.6194673;5.5749430502666675;3.239
14;4.6191744;5.5627766828666685;3.466
15;4.617828;5.5518053564666685;3.693
16;4.6070261;5.540997922400001;3.929
17;4.6070261;5.530705347066668;4.154
18;4.6070261;5.5206693898;4.377
19;4.6058583;5.511969482333333;4.606
20;4.6058583;5.503630390466665;4.841
21;4.5990931;5.494771106799998;5.069
22;4.5944697;5.4860154195999975;5.295
23;4.5934386;5.477864401733332;5.526
24;4.5918197;5.470357671333332;5.74
25;4.5915965;5.462828404333332;5.962
26;4.5909997;5.455267527999999;6.185
27;4.5904212;5.448547937666667;6.408
28;4.5904212;5.440873639866667;6.631
29;4.5851467;5.433571655533332;6.855
30;4.5806862;5.426461681133333;7.081
31;4.5806862;5.420683916333333;7.307
32;4.5778827;5.415326330000001;7.5280000000000005
33;4.5778827;5.409527035000001;7.749
34;4.5778827;5.404303470733334;7.965
35;4.5773488;5.3991329574666675;8.181
36;4.5761326;5.393880747066667;8.398
37;4.5761326;5.389102594733333;8.614
38;4.5761326;5.383892992733333;8.833
39;4.569316;5.379091274533334;9.051
40;4.5611119;5.374681131799999;9.272
41;4.560984;5.3702263886;9.493
42;4.5591423;5.365690535333333;9.717
43;4.5581672;5.3609057887999985;9.937
44;4.5561736;5.3557637078666644;10.156
45;4.5561736;5.351262102133331;10.38
46;4.5561736;5.347053697666665;10.604
47;4.5561736;5.342889859799999;10.829
48;4.5561736;5.338888747466665;11.055
49;4.5524477;5.3343936898666655;11.278
50;4.5481218;5.330518655399999;11.501
51;4.5481218;5.3269285914666655;11.731
52;4.5477186;5.323031719133331;11.952
53;4.5471187;5.319906784133331;12.174
54;4.5467597;5.3166736827999985;12.396
55;4.5467597;5.313360419799999;12.621
56;4.5467597;5.309816856666664;12.845
57;4.5424473;5.306583870066666;13.071
58;4.5424473;5.303626659666666;13.293
59;4.5424473;5.300864549399998;13.517
60;4.5379992;5.297544103599998;13.741
61;4.537659;5.294372963066665;13.966
62;4.5370782;5.291476686466665;14.191
63;4.5370782;5.288230952199998;14.425
64;4.5368896;5.2848317508666645;14.649
65;4.5368896;5.281521286533331;14.883
66;4.5368896;5.278222086133331;15.113
67;4.5368896;5.274615239733331;15.341999999999999
68;4.5368896;5.271777669133332;15.572
69;4.5368896;5.268677156999998;15.806
70;4.5368896;5.266236476866665;16.034
71;4.5368896;5.263656354666665;16.275
72;4.5368896;5.260782945399997;16.523
73;4.5368896;5.258517177666664;16.755
74;4.5317241;5.256098403066665;16.987000000000002
75;4.5317241;5.253608825999999;17.221
76;4.5309153;5.250751922666665;17.451
77;4.5309153;5.247811492999999;17.681
78;4.5309153;5.245023918466665;17.915
79;4.5309153;5.242439515866664;18.149
80;4.5309153;5.240055745266663;18.386
81;4.5309153;5.23736674493333;18.62
82;4.5246352;5.234466517199998;18.861
83;4.5197979;5.232593025666664;19.092
84;4.5197979;5.2303411672666655;19.326
85;4.5197979;5.227962352199999;19.566
86;4.4755917;5.225647354533332;19.804
87;4.4752533;5.223342133266665;20.041
88;4.4744556;5.220483080066664;20.274
89;4.4739683999999995;5.217888014333331;20.506
90;4.4739683999999995;5.215570222133331;20.736
91;4.4739683999999995;5.213632882199997;20.969
92;4.4739683999999995;5.211763522066665;21.207
93;4.4739683999999995;5.209921117266664;21.444
94;4.4717196;5.208302421533332;21.686
95;4.470937;5.2064508909999985;21.925
96;4.470937;5.203910396466664;22.165
97;4.4690473;5.201371118933332;22.403
98;4.4690473;5.199256997533332;22.64
99;4.4690473;5.197683166866666;22.876
100;4.4690473;5.196117952799998;23.119
101;4.4684453;5.193582603333331;23.356
102;4.4654251;5.191615370199998;23.601
103;4.4654251;5.189864294799999;23.841
104;4.4654251;5.188289720999999;24.076
105;4.4654251;5.186163038666666;24.309
106;4.4654251;5.184061841999999;24.554
107;4.4654251;5.182450617466666;24.791
108;4.4654251;5.180559968799999;25.028
109;4.4654251;5.178979978999999;25.27
110;4.4654251;5.1773723506;25.512999999999998
111;4.4654251;5.1754777958;25.747999999999998
112;4.4654251;5.174028652666666;25.985
113;4.4654251;5.172746925533333;26.225
114;4.4654251;5.1712337754;26.469
115;4.459449;5.1697178602000005;26.712
116;4.459449;5.168404962733335;26.954
117;4.459449;5.166724420733335;27.196
118;4.459449;5.165181032066667;27.43
119;4.459449;5.1634439694;27.672
120;4.459449;5.161159398733335;27.906
121;4.4593716;5.159431143266667;28.144000000000002
122;4.4588545;5.157781125066667;28.386
123;4.4588545;5.1556153758;28.626
124;4.4588545;5.1541799994;28.875
125;4.4580145;5.152697428933333;29.128
126;4.4580145;5.151056406266666;29.38
127;4.4580145;5.1493846508;29.628
128;4.4567873;5.147861369266667;29.872
129;4.4558858;5.146284987733333;30.116
130;4.4545374;5.145167762000001;30.357
131;4.4545374;5.143453776666667;30.605999999999998
132;4.4528992;5.1423550704;30.86
133;4.4528992;5.140506665133333;31.111
134;4.4528992;5.139204745533332;31.364
135;4.4511682;5.1377764950666664;31.635
136;4.4511682;5.136311345;31.894
137;4.4511682;5.134745943866667;32.146
138;4.4495493999999995;5.133323047266667;32.4
139;4.4495493999999995;5.1319959094;32.657
140;4.4495493999999995;5.1305378165999995;32.912
141;4.4490427;5.1293428887333326;33.171
142;4.4490427;5.127967260133333;33.423
143;4.4490427;5.126660133933333;33.683
144;4.4490427;5.125386305466667;33.947
145;4.4490427;5.124245164133334;34.207
146;4.4490427;5.122893503;34.47
147;4.4490427;5.1215284394000005;34.731
148;4.4490427;5.120188740933333;34.993
149;4.4490427;5.118963289999999;35.264
150;4.4490427;5.117462618933332;35.522
151;4.4490427;5.1160033408;35.783
152;4.4490427;5.114708639200001;36.043
153;4.4490427;5.113299392133333;36.304
154;4.4490427;5.111903673333334;36.562
