Generation;AverageBest;AverageAverage;AverageTime
0;30.235082;33.48400072231106;0.001
1;30.1602198;33.323611556844405;5.266
2;30.0866043;33.20815987488885;10.543
3;30.0768008;33.11622602446663;15.897
4;30.0388644;33.04196257797772;21.447
5;29.97327;32.983933469399936;26.918
6;29.9706971;32.93102654013327;32.576
7;29.9715271;32.88277351615548;38.342
8;29.7886537;32.842625690555494;44.216
9;29.7263519;32.80771690875549;50.127
10;29.7163196;32.77348780762217;56.319
11;29.7125783;32.743117046555504;62.371
12;29.7048007;32.71616177157773;68.611
13;29.6871512;32.68866145304441;74.881
14;29.666313;32.66331879806661;81.174
15;29.6524326;32.64052967631105;87.516
16;29.6524326;32.61662967388884;93.93
17;29.6454492;32.593104376044394;100.444
18;29.647318;32.57351978144439;107.08
19;29.6295592;32.552800429066615;113.934
20;29.6295592;32.53292109866663;120.667
21;29.6218659;32.51316186333328;127.528
22;29.6218659;32.494492839844376;134.281
23;29.6218659;32.475126982644376;141.199
24;29.6218659;32.4584575776666;148.13400000000001
25;29.6100466;32.444468277822146;154.918
26;29.543361;32.42859870564439;161.888
27;29.543361;32.41470577537773;168.748
28;29.543361;32.402099690533284;175.573
29;29.529208399999998;32.386067950644396;182.457
30;29.529208399999998;32.37272561193329;189.463
31;29.523979399999998;32.35750178777774;196.328
32;29.5160561;32.344764730911066;203.257
33;29.5227433;32.33042021891106;210.286
34;29.503788099999998;32.31550140091107;217.272
35;29.5117114;32.302315667422185;224.317
36;29.4945286;32.290701394733304;231.4
37;29.4945286;32.27803470275553;238.181
38;29.496192399999998;32.265369448355536;245.077
39;29.496192399999998;32.2539361110222;252.034
40;29.4883742;32.24295072368885;259.022
41;29.4883742;32.23197380537775;265.959
42;29.488066;32.22029982477775;273.015
43;29.488066;32.20764706037775;279.909
44;29.486181;32.19773222864442;286.839
45;29.4844302;32.186596654355526;293.969
46;29.4844302;32.17537160555553;300.949
47;29.4812182;32.165799740799976;307.97
48;29.4259146;32.154329070333304;314.952
49;29.4229809;32.144701176911084;321.955
50;29.4229809;32.13264830384442;329.056
51;29.3548642;32.12020201577775;336.013
52;29.3495948;32.10918055948888;343.029
53;29.2720515;32.10030410399998;349.94
54;29.2646309;32.09332257393331;356.923
55;29.2646309;32.082596752733316;363.972
56;29.2630792;32.07208238973332;370.928
57;29.2630792;32.063082675377764;377.948
58;29.2605468;32.054237049977765;385.037
59;29.2562334;32.04645084657777;392.268
60;29.2562334;32.03870262779999;399.431
61;29.258385099999998;32.029714488333326;406.531
62;29.319864199999998;32.02045499771111;413.572
63;29.319864199999998;32.011180943044444;420.587
64;29.319864199999998;32.00221296606666;427.628
65;29.3171232;31.994365612688878;434.749
66;29.319497;31.9834675513111;441.962
67;29.3173453;31.97459998606664;449.322
68;29.2565321;31.96652844031108;456.576
69;29.2565321;31.958948446577754;463.829
70;29.2479799;31.949951141199982;471.133
71;29.2479799;31.942605790111077;478.398
72;29.2273053;31.93271297684442;485.724
73;29.2273053;31.923902981311088;493.184
74;29.2273053;31.916351574355524;500.423
75;29.2273053;31.90814035775552;507.936
76;29.1615833;31.90020266795552;515.319
77;29.1615833;31.892361694422185;522.687
78;29.1615833;31.884805280777744;530.124
79;29.1615143;31.876914288044404;537.367
80;29.158528099999998;31.868698186844398;544.733
81;29.0957983;31.86137220497772;552.015
82;29.0957983;31.85384788175551;559.312
83;29.0957983;31.84589546651106;566.769
84;29.0957983;31.83828910357773;574.07
85;29.0957983;31.830650168266626;581.579
86;29.0957983;31.82325061871107;588.954
87;29.1650148;31.816772582399963;596.308
88;29.1637265;31.807701244977736;603.957
89;29.1613457;31.80003009859995;611.348
90;29.1613457;31.791364661711057;618.751
91;29.1613457;31.784213931177725;626.324
92;29.0988865;31.77642456044439;634.072
93;29.0988865;31.77015775733328;641.798
94;29.0988865;31.762790929511056;649.322
95;29.0973585;31.755460283799945;656.822
96;29.0252669;31.74931946719995;664.4970000000001
97;29.0252669;31.741480674266626;672.729
98;28.9596785;31.735153236577737;680.646
99;28.9565122;31.72840642302218;688.327
100;28.9525778;31.72298943791107;695.999
101;28.9440001;31.715974359977743;703.724
102;28.9396219;31.709567421422186;711.37
103;28.9396219;31.703507586733306;718.949
104;28.9396219;31.696247998088865;726.671
105;28.9396219;31.690239962111086;734.243
106;28.9391827;31.684162324533304;741.819
107;28.9391093;31.677136639133312;749.4159999999999
108;28.9391093;31.670542588466652;757.037
109;28.9391093;31.664149296444435;764.833
110;28.9391093;31.65754859066666;772.632
111;28.9391093;31.651562032666657;780.427
112;28.935361;31.644828171822216;788.153
113;28.9352187;31.63865518991111;795.961
114;28.9298187;31.633432740022208;803.952
115;28.920642700000002;31.628391024933315;811.921
116;28.920642700000002;31.623022705311087;820.074
117;28.920642700000002;31.61581876317776;828.0450000000001
118;28.920642700000002;31.60973373033332;835.7719999999999
