Generation;Best;Average;ElapsedSeconds
0;9,378406;11,279718097999973;0,00
1;9,378406;11,214067275333308;0,49
2;9,378406;11,159513073333304;0,70
3;9,378406;11,108694499333302;0,89
4;9,378406;11,068064321999971;1,08
5;9,378406;11,036206848666643;1,24
6;9,378406;11,012853347999982;1,41
7;9,378406;10,98171454799998;1,57
8;9,312012;10,961265635999979;1,74
9;9,240623;10,942270693333308;1,90
10;9,312012;10,921713836666646;2,09
11;9,312012;10,898340625333308;2,26
12;9,312012;10,873690629333302;2,43
13;9,312012;10,862941784666628;2,59
14;9,312012;10,849290019999962;2,76
15;9,312012;10,839289737999966;2,93
16;9,312012;10,8287921633333;3,09
17;9,26226;10,815210297333307;3,26
18;9,26226;10,80091561866664;3,42
19;9,26226;10,795818673999973;3,59
20;9,26226;10,778551035333303;3,75
21;9,26226;10,770433021999969;3,92
22;9,26226;10,760032505999973;4,09
23;9,26226;10,748107069333306;4,25
24;9,26226;10,74102192866664;4,43
25;9,26226;10,72786089333331;4,59
26;9,26226;10,71897719066665;4,76
27;9,26226;10,712686971999979;4,92
28;9,26226;10,698683727333307;5,09
29;9,26226;10,692456158666639;5,25
30;9,26226;10,691465145333304;5,42
31;9,26226;10,68106138733331;5,59
32;9,26226;10,674942331999974;5,75
33;9,26226;10,668830003999973;5,91
34;9,26226;10,664487915999976;6,08
35;9,26226;10,662542763999975;6,24
36;9,26226;10,652159109333304;6,41
37;9,26226;10,643363891999975;6,58
38;9,26226;10,63377413199997;6,76
39;9,26226;10,628412942666634;6,94
40;9,26226;10,621697503333298;7,12
41;9,26226;10,611994703999967;7,30
42;9,26226;10,601108688666637;7,47
43;9,26226;10,58755752866664;7,65
44;9,26226;10,586998139333302;7,83
45;9,26226;10,58056910866664;8,01
46;9,26226;10,574401606666644;8,19
47;9,26226;10,564530647333312;8,36
48;9,260105;10,56028348866665;8,53
49;9,260105;10,553917873333317;8,69
50;9,260105;10,54662920666665;8,86
51;9,260105;10,544790203333315;9,03
52;9,260105;10,537297751333313;9,22
53;9,260105;10,530671309333314;9,40
54;9,260105;10,524728620666648;9,57
55;9,260105;10,51307981999998;9,75
56;9,260105;10,508995893333319;9,92
57;9,260105;10,49957543933332;10,10
58;9,260105;10,49450594133332;10,28
59;9,260105;10,484252137999981;10,47
60;9,260105;10,485986125333318;10,65
61;9,260105;10,48499465866665;10,84
62;9,260105;10,478917653999982;11,02
63;9,260105;10,475406805333316;11,20
64;9,260105;10,469522767999981;11,38
65;9,260105;10,469020423999977;11,56
