Generation;Best;Average;ElapsedSeconds
0;13,469986;15,478565658000052;0,00
1;13,469986;15,341060040222281;3,34
2;13,462097;15,24303628177784;6,69
3;13,462097;15,175289173777804;9,94
4;13,323094;15,130994697555582;13,29
5;13,323094;15,0797489317778;16,75
6;13,323094;15,051662776222251;20,24
7;13,323094;15,028759761111132;23,63
8;13,323094;14,999411991111149;27,19
9;13,203623;14,981655576666684;30,71
10;13,203623;14,959890724000001;34,30
11;13,203623;14,944053401777802;37,82
12;13,203623;14,919356245111134;41,50
13;13,203623;14,906559862000034;45,08
14;13,266247;14,890837280444474;48,78
15;13,25363;14,87653920666669;52,60
16;13,25363;14,867697798888907;56,36
17;13,25363;14,854143669333348;60,24
18;13,25363;14,836566640666689;64,09
19;13,25363;14,824050462666689;68,02
20;13,25363;14,811901223111112;71,94
21;13,25363;14,804146476666656;75,92
22;13,25363;14,799155285555543;80,02
23;13,25363;14,793399211111103;83,98
24;13,25363;14,787405347777757;88,05
25;13,255236;14,77868135711111;92,24
26;13,255236;14,764362508444446;96,31
27;13,255236;14,756581357777762;100,53
28;13,255236;14,753568192222208;104,85
29;13,255236;14,745810630888869;109,11
30;13,255236;14,741283921333318;113,43
31;13,255236;14,735096572444444;117,81
32;13,255236;14,729192217777774;122,06
33;13,255236;14,71800295088889;126,42
34;13,255236;14,709357286444448;130,74
35;13,255236;14,707673149777799;134,98
36;13,255236;14,695877199555563;139,30
37;13,255236;14,687471475111137;143,71
38;13,255236;14,682380708666713;147,90
39;13,255236;14,67104995844448;152,20
40;13,255236;14,665439656444473;156,60
41;13,255236;14,662869147111138;160,86
42;13,255236;14,65269941111112;165,24
43;13,255236;14,651154104000012;169,61
44;13,255236;14,644260279555569;173,88
45;13,296086;14,646765474888888;178,13
46;13,296086;14,645505462444433;182,46
47;13,296086;14,642948652222225;186,76
48;13,296086;14,63923883466667;191,13
49;13,296086;14,62846412844446;195,50
50;13,296086;14,62020886688892;199,89
51;13,296086;14,614286182444472;204,14
52;13,296086;14,604415564888921;208,55
53;13,295227;14,600794863777802;212,88
54;13,295227;14,592674518666696;217,17
55;13,295227;14,587744172000006;221,56
56;13,295227;14,582772491111125;225,90
57;13,295227;14,575662383333356;230,24
58;13,295227;14,570962292222251;234,72
59;13,295227;14,563912996666675;239,22
60;13,281647;14,55544594177778;243,61
61;13,261324;14,551492737999997;248,04
62;13,261324;14,54561757688889;252,59
63;13,261324;14,539966436666669;257,01
64;13,261324;14,533981076888905;261,42
65;13,261324;14,532795457333346;266,09
66;13,261324;14,529856999333349;270,69
67;13,261324;14,526384819555577;275,11
68;13,261324;14,522384764000023;279,60
69;13,261324;14,5208778108889;284,17
70;13,261324;14,514682047333352;288,55
71;13,240968;14,511651911777784;292,89
72;13,240968;14,510295879555567;297,45
73;13,240968;14,505575675333345;302,02
74;13,240968;14,502988034222248;306,47
75;13,240968;14,499978252666686;310,97
76;13,240968;14,494168006444479;315,59
77;13,240968;14,489565318888932;320,05
78;13,240968;14,488529925333367;324,54
79;13,240968;14,484483222888912;329,07
80;13,091;14,476876025111135;333,54
