Generation;Best;Average;ElapsedSeconds
0;21,175294;23,231575369999874;0,00
1;21,182893;23,06462074288878;3,13
2;21,182893;22,95517791488876;6,43
3;21,182893;22,87048507444429;9,85
4;21,110522;22,807035645555413;13,22
5;21,110522;22,76213349711098;17,39
6;21,110522;22,72426872133322;20,78
7;20,661748;22,69123089044435;24,02
8;20,598997;22,659216508222112;27,27
9;20,598997;22,638939042666557;30,64
10;20,598997;22,61436057844436;33,90
11;20,598997;22,595303351999927;37,21
12;20,598997;22,58251974599995;40,65
13;20,551464;22,562889961777735;44,53
14;20,551464;22,546575463333305;48,01
15;20,551464;22,536631268222216;51,62
16;20,551464;22,522005680666624;55,15
17;20,551464;22,508132558888864;58,93
18;20,551464;22,498275390222187;62,71
19;20,551464;22,481364819999975;66,53
20;20,551464;22,4726495162222;70,52
21;20,551464;22,462906832222192;74,43
22;20,546737;22,44904737533327;78,58
23;20,49208;22,436548749999925;82,61
24;20,49208;22,431155622222132;86,69
25;20,49208;22,41799186644437;90,76
26;20,49208;22,401725751555496;94,72
27;20,49208;22,398867706888822;98,88
28;20,49208;22,393731788888825;103,03
29;20,49208;22,37776662711104;107,06
30;20,49208;22,367103433111005;111,18
31;20,49208;22,354205294666567;115,27
32;20,49208;22,34699915666658;119,52
33;20,49208;22,338224915555497;123,80
34;20,49208;22,33066314444439;127,96
35;20,49208;22,321956947999908;131,98
36;20,49208;22,31095302244439;136,30
37;20,49208;22,299996306888822;140,37
38;20,49208;22,293542121777694;144,48
39;20,49208;22,28975683066657;148,86
40;20,49208;22,286220007333235;152,81
41;20,49208;22,275518919999882;157,55
42;20,49208;22,269698413333234;162,01
43;20,49208;22,26284489533323;166,37
44;20,49208;22,26348226488878;171,08
45;20,49208;22,252545562444354;175,81
46;20,49208;22,24757161666659;180,29
47;20,49208;22,240290104888853;184,67
48;20,49208;22,231943539333287;189,12
49;20,49208;22,227919011555493;193,45
50;20,49208;22,22375584488881;198,02
51;20,49208;22,216726251777686;202,77
52;20,49208;22,21247247755546;207,13
53;20,49208;22,20101662399992;211,57
54;20,49208;22,187566001555485;216,22
55;20,49208;22,18473655688882;220,64
56;20,49208;22,176445145555466;225,06
57;20,49208;22,16760768355545;229,44
58;20,49208;22,16194550755548;233,68
59;20,49208;22,163920750222115;238,23
60;20,49208;22,158137360444346;242,46
61;20,49208;22,149925252888796;246,64
62;20,49208;22,14977904155547;251,05
63;20,49208;22,140390031555455;255,39
64;20,49208;22,139692157999928;259,54
65;20,49208;22,129961011111043;263,88
66;20,49208;22,124063706888816;268,15
67;20,49208;22,117038982888815;272,60
68;20,49208;22,114218134666583;276,68
69;20,49208;22,11106295066661;280,73
70;20,49208;22,104019549555485;284,83
71;20,49208;22,099490467111032;288,86
72;20,467105;22,09298174066661;293,15
73;20,467105;22,089627484666615;297,48
74;20,467105;22,083706760444404;301,50
75;20,467105;22,078490611333258;305,62
76;20,467105;22,07437979688882;309,59
77;20,467105;22,068978124888844;313,85
78;20,467105;22,059412140222186;317,97
79;20,467105;22,056922551333304;322,07
80;20,467105;22,050024021777748;326,29
81;20,467105;22,044886251333295;330,46
82;20,467105;22,039120445111067;334,50
83;20,467105;22,034775559333294;338,64
84;20,467105;22,028854112222206;342,87
85;20,467105;22,027298404666656;347,17
86;20,467105;22,019955011333302;351,35
87;20,467105;22,01348291555554;355,59
88;20,467105;22,01116206266665;360,06
89;20,438828;22,00234262911109;364,34
90;20,438828;21,997731740888895;368,49
91;20,438828;21,99045688066668;372,77
92;20,438828;21,98874594711112;376,97
93;20,438828;21,98461180355554;381,09
94;20,438828;21,97930719111109;385,21
95;20,438828;21,97851588555556;389,22
96;20,438828;21,978202275111098;393,40
97;20,438828;21,97450091888888;397,47
98;20,438828;21,971848819999998;401,67
99;20,438828;21,96466680466666;405,99
100;20,438828;21,957285006222218;410,26
101;20,410926;21,95260527444446;414,53
102;20,410926;21,949723763333346;418,94
103;20,410926;21,946983685333336;423,37
104;20,410926;21,940408666666634;427,61
105;20,410926;21,935452312666662;432,00
106;20,36839;21,928782058444433;436,27
107;20,36839;21,924090948222204;440,46
108;20,36839;21,91938709311111;444,74
109;20,359931;21,914835959555557;448,88
110;20,359931;21,91151507555555;453,00
111;20,359931;21,908515794444458;457,20
112;20,359931;21,902716778000016;461,18
113;20,359931;21,90094841244445;465,45
114;20,359931;21,8972050528889;469,75
115;20,359931;21,888102344222222;473,92
116;20,359931;21,886161024888885;478,28
117;20,359931;21,878875829999988;482,74
118;20,258191;21,87714747533332;486,89
119;20,258191;21,87584165333335;490,96
120;20,258191;21,874761397111122;495,08
121;20,258191;21,87144604022224;499,27
122;20,258191;21,86816095666669;503,70
123;20,258191;21,86610366022222;508,79
124;20,258191;21,85772892866665;513,29
125;20,258191;21,85368516844443;517,75
126;20,258191;21,8510091511111;522,05
127;20,258191;21,846173875777747;526,44
128;20,258191;21,841497721999964;530,68
129;20,258191;21,83741867977772;535,11
130;20,258191;21,834899892444398;539,81
131;20,258191;21,82959932199996;544,37
132;20,258191;21,82340990066664;548,78
133;20,258191;21,819984162222188;553,50
134;20,258191;21,8177091833333;558,38
135;20,258191;21,81166337955552;563,18
136;20,258191;21,810329043555498;568,09
137;20,258191;21,80755648999994;572,92
138;20,258191;21,804850035111066;577,70
139;20,258191;21,80163871955551;582,35
140;20,258191;21,796991173111056;587,26
141;20,258191;21,794304552888832;592,11
142;20,258191;21,792868890444375;597,00
143;20,258191;21,789318148888814;602,07
144;20,258191;21,78661660355548;607,73
145;20,258191;21,78388870999992;613,34
146;20,258191;21,781235455999916;618,41
147;20,258191;21,77723680311101;623,44
148;20,258191;21,775801095999917;629,00
149;20,258191;21,772972518666588;634,22
150;20,258191;21,769989511111017;639,33
151;20,258191;21,767225595555477;645,11
152;20,258191;21,762310773333258;651,25
153;20,258191;21,759572811555476;656,27
154;20,258191;21,757463632666582;660,95
155;20,258191;21,75521669244437;665,97
156;20,258191;21,751483336666606;671,23
157;20,258191;21,74757442422218;676,37
158;20,258191;21,742295141555527;681,42
159;20,258191;21,738433011777747;686,70
160;20,258191;21,73603807888886;691,88
161;20,258191;21,735163727333298;696,64
162;20,258191;21,73230495733329;701,62
163;20,258191;21,73038810133328;706,66
164;20,258191;21,728635109555505;711,60
165;20,258191;21,72427847022217;716,39
166;20,258191;21,722514112888845;721,34
167;20,258191;21,717351541555512;725,95
168;20,258191;21,713157780666634;730,47
169;20,258191;21,712060972222186;734,88
170;20,258191;21,709427648222185;739,35
171;20,258191;21,704210962888858;744,07
172;20,258191;21,70300683111108;748,55
173;20,258191;21,697628206888844;753,25
174;20,258191;21,694003279333305;757,92
175;20,258191;21,69236832311108;762,55
176;20,258191;21,688624141999963;767,06
177;20,258191;21,685594192222187;771,53
178;20,258191;21,68234500844441;775,99
179;20,258191;21,68140347133329;780,24
180;20,258191;21,678970870666625;784,53
181;20,258191;21,67670605799998;788,96
182;20,258191;21,675849180222208;793,47
183;20,258191;21,673184472666662;797,90
184;20,258191;21,670883219111104;802,61
185;20,258191;21,66843275533333;806,93
186;20,258191;21,665396074666656;811,18
187;20,258191;21,663957978888874;815,67
188;20,258191;21,659779640444427;820,06
189;20,258191;21,65698191444443;824,63
190;20,258191;21,65365839399998;829,15
191;20,258191;21,650494516888863;833,57
192;20,258191;21,648374864222184;837,97
193;20,258191;21,645589017999956;842,49
194;20,258191;21,644263610222175;847,12
195;20,258191;21,64046577488883;851,70
196;20,258191;21,638712580444384;856,15
197;20,258191;21,635850413333262;860,57
198;20,258191;21,633642533333273;865,09
199;20,258191;21,632801350888833;869,42
200;20,258191;21,630202951777733;873,78
201;20,258191;21,629436789111068;878,33
202;20,258191;21,62547362377773;882,93
203;20,258191;21,62173539155551;887,59
204;20,258191;21,61990592666661;892,27
205;20,258191;21,61702007044439;896,92
206;20,258191;21,616598788222166;901,55
207;20,258191;21,614326389333275;905,96
208;20,258191;21,612470833777724;910,51
209;20,258191;21,610210402222155;914,97
210;20,258191;21,60746503355551;919,29
211;20,201519;21,6045746086666;923,68
212;20,201519;21,60159834444438;928,20
213;20,201519;21,5992888755555;932,66
214;20,201519;21,59709900199994;937,06
215;20,201519;21,59506114911105;941,80
216;20,201519;21,59287295844439;946,46
217;20,201519;21,590475663777728;950,92
218;20,201519;21,58793994866663;955,32
219;20,201519;21,586788806222184;959,94
220;20,201519;21,58496516377775;965,14
221;20,201519;21,5827203144444;969,43
222;20,201519;21,580256898444407;973,83
223;20,201519;21,578116485999963;978,18
224;20,201519;21,576150717555517;982,50
225;20,201519;21,57383184511108;987,06
226;20,201519;21,572442782666634;991,95
227;20,201519;21,570842857555522;996,52
228;20,201519;21,56894686511107;1001,04
229;20,201519;21,56759198488884;1005,57
230;20,201519;21,56746511511106;1010,07
231;20,201519;21,565538769111054;1014,56
232;20,201519;21,563971640444382;1018,98
233;20,201519;21,561727226888827;1023,58
234;20,201519;21,559981782444392;1027,92
235;20,201519;21,55934541399995;1032,19
236;20,201519;21,557358178666618;1036,72
237;20,201519;21,555563329333285;1041,00
238;20,201519;21,554034378888847;1045,41
239;20,201519;21,551499020444403;1049,96
240;20,201519;21,549286319999965;1054,07
241;20,201519;21,547628193333313;1058,08
242;20,201519;21,54551164711108;1062,12
243;20,201519;21,544517773333297;1066,68
244;20,201519;21,542799249999973;1070,62
245;20,201519;21,541113552666637;1074,55
246;20,201519;21,538212101333315;1078,45
247;20,201519;21,536067096222187;1082,28
248;20,201519;21,533882701999957;1086,61
249;20,201519;21,533098156888844;1090,32
250;20,201519;21,53140370244439;1093,95
251;20,201519;21,529637319333272;1097,68
252;20,201519;21,52865066333327;1101,30
253;20,201519;21,526164290888833;1104,97
254;20,092806;21,525005961777715;1108,62
255;20,092806;21,522950038444392;1112,33
256;20,092806;21,521829614888837;1116,01
257;20,092806;21,5197818395555;1119,72
258;20,092806;21,517480195111055;1123,39
259;20,092806;21,515966119777715;1126,98
260;20,092806;21,51471292866661;1130,54
261;20,092806;21,51303409044437;1134,22
262;20,092806;21,511795859555487;1137,85
263;20,092806;21,509554947333275;1141,42
264;20,092806;21,507175577555493;1145,01
265;20,092806;21,506607834888815;1148,66
266;20,092806;21,50532808533326;1152,32
267;20,092806;21,50354285844437;1155,99
268;20,092806;21,50195537511102;1159,63
269;20,092806;21,500317600888792;1163,22
270;20,092806;21,499008495999906;1166,83
271;20,092806;21,497570192888798;1170,43
272;20,092806;21,495855346444365;1174,11
273;20,092806;21,494098273111025;1177,75
274;20,092806;21,491825382444365;1181,38
275;20,092806;21,49053192399993;1185,04
276;20,092806;21,488975133777718;1188,68
277;20,092806;21,48794233444438;1192,41
278;20,092806;21,486886381999938;1196,22
279;20,092806;21,48647144488883;1200,03
280;20,092806;21,484889296888817;1203,84
281;20,092806;21,48394204911104;1207,62
282;20,092806;21,481329136444373;1211,43
283;19,752993;21,48045409933325;1215,23
284;19,752993;21,479504688444376;1219,31
285;19,752993;21,477968181111045;1223,30
286;19,752993;21,476504375555496;1227,39
287;19,752993;21,474272588666604;1231,67
288;19,752993;21,4731566535555;1235,98
289;19,752993;21,471520248888822;1240,21
290;19,752993;21,470297973555482;1244,59
291;19,752993;21,468698329333268;1249,18
292;19,752993;21,46691811088883;1253,67
293;19,752993;21,466185000666606;1258,09
294;19,752993;21,464973278222164;1262,76
295;19,752993;21,463812562222174;1267,50
296;19,752993;21,462403239999954;1272,14
297;19,752993;21,46116364533329;1276,94
298;19,743531;21,459569805333285;1281,65
299;19,743531;21,458129839555497;1286,64
300;19,743531;21,45698622111104;1291,54
